,subject,condition,pu,step
0,1qs0vvu9krr584a,0.0,0.0,23.75
1,1qs0vvu9krr584a,1.0,1.0,24.0
2,1qs0vvu9krr584a,2.0,1.0,17.5
3,1qs0vvu9krr584a,3.0,0.0,19.0
4,1qs0vvu9krr584a,4.0,0.0,25.75
5,1qs0vvu9krr584a,5.0,1.0,18.25
6,1tq0jt4dd31u8lq,0.0,1.0,13.0
7,1tq0jt4dd31u8lq,1.0,0.0,20.25
8,1tq0jt4dd31u8lq,2.0,1.0,16.0
9,1tq0jt4dd31u8lq,3.0,0.0,21.5
10,1tq0jt4dd31u8lq,4.0,0.0,17.25
11,1tq0jt4dd31u8lq,5.0,1.0,16.0
12,22260uys7arz8j6,0.0,1.0,10.0
13,22260uys7arz8j6,1.0,0.0,20.25
14,22260uys7arz8j6,2.0,1.0,16.5
15,22260uys7arz8j6,3.0,0.0,21.75
16,22260uys7arz8j6,4.0,0.0,18.25
17,22260uys7arz8j6,5.0,1.0,11.5
18,2bqu5ktkg43fh3p,0.0,0.0,26.25
19,2bqu5ktkg43fh3p,1.0,1.0,18.0
20,2bqu5ktkg43fh3p,2.0,0.0,29.5
21,2bqu5ktkg43fh3p,3.0,1.0,16.25
22,2bqu5ktkg43fh3p,4.0,0.0,22.0
23,2bqu5ktkg43fh3p,5.0,1.0,14.25
24,2mzs709cn5dlwj2,0.0,1.0,8.25
25,2mzs709cn5dlwj2,1.0,0.0,16.0
26,2mzs709cn5dlwj2,2.0,0.0,13.75
27,2mzs709cn5dlwj2,3.0,1.0,9.5
28,2mzs709cn5dlwj2,4.0,1.0,8.75
29,2mzs709cn5dlwj2,5.0,0.0,15.25
30,2nzfnkk2uulwmkz,0.0,0.0,24.75
31,2nzfnkk2uulwmkz,1.0,1.0,14.0
32,2nzfnkk2uulwmkz,2.0,1.0,14.25
33,2nzfnkk2uulwmkz,3.0,0.0,18.5
34,2nzfnkk2uulwmkz,4.0,0.0,19.0
35,2nzfnkk2uulwmkz,5.0,1.0,16.75
36,2onuokgmd4mb91n,0.0,1.0,13.0
37,2onuokgmd4mb91n,1.0,0.0,17.75
38,2onuokgmd4mb91n,2.0,0.0,24.75
39,2onuokgmd4mb91n,3.0,1.0,19.75
40,2onuokgmd4mb91n,4.0,1.0,17.75
41,2onuokgmd4mb91n,5.0,0.0,24.75
42,2qu63bjtm9kxnnb,0.0,1.0,11.0
43,2qu63bjtm9kxnnb,1.0,0.0,20.25
44,2qu63bjtm9kxnnb,2.0,1.0,13.75
45,2qu63bjtm9kxnnb,3.0,0.0,20.25
46,2qu63bjtm9kxnnb,4.0,0.0,17.25
47,2qu63bjtm9kxnnb,5.0,1.0,15.5
48,2usnf1r3h88bett,0.0,0.0,21.25
49,2usnf1r3h88bett,1.0,1.0,15.75
50,2usnf1r3h88bett,2.0,1.0,14.0
51,2usnf1r3h88bett,3.0,0.0,21.75
52,2usnf1r3h88bett,4.0,0.0,19.75
53,2usnf1r3h88bett,5.0,1.0,9.75
54,34aswcgc3uv5ln0,0.0,0.0,20.75
55,34aswcgc3uv5ln0,1.0,1.0,15.75
56,34aswcgc3uv5ln0,2.0,1.0,17.5
57,34aswcgc3uv5ln0,3.0,0.0,23.0
58,34aswcgc3uv5ln0,4.0,0.0,30.0
59,34aswcgc3uv5ln0,5.0,1.0,17.75
60,35q8u5ekgfaq26g,0.0,0.0,20.0
61,35q8u5ekgfaq26g,1.0,1.0,17.25
62,35q8u5ekgfaq26g,2.0,0.0,16.25
63,35q8u5ekgfaq26g,3.0,1.0,19.0
64,35q8u5ekgfaq26g,4.0,0.0,17.75
65,35q8u5ekgfaq26g,5.0,1.0,13.75
66,3cb7v9rogoxz69h,0.0,0.0,20.25
67,3cb7v9rogoxz69h,1.0,1.0,15.25
68,3cb7v9rogoxz69h,2.0,0.0,25.0
69,3cb7v9rogoxz69h,3.0,1.0,23.0
70,3cb7v9rogoxz69h,4.0,0.0,30.75
71,3cb7v9rogoxz69h,5.0,1.0,20.75
72,3jrram86yd3uhgb,0.0,1.0,15.75
73,3jrram86yd3uhgb,1.0,0.0,18.5
74,3jrram86yd3uhgb,2.0,0.0,19.75
75,3jrram86yd3uhgb,3.0,1.0,9.75
76,3jrram86yd3uhgb,4.0,1.0,10.75
77,3jrram86yd3uhgb,5.0,0.0,13.25
78,3t9q259awsqqnjn,0.0,1.0,13.75
79,3t9q259awsqqnjn,1.0,0.0,19.5
