"","sub","model","rr","pu","rho","offset","bestfit"
"1","1qs0vvu9krr584a","perc_offset",1,1,0.12962962962963,0.000910729668025745,"perc_offset"
"2","1qs0vvu9krr584a","perc_offset",1,2,0.0185185185185185,-0.00192454890792393,"perc_offset"
"3","1qs0vvu9krr584a","perc_offset",2,1,0.0185174722823363,0.00165689975570782,"perc_offset"
"4","1qs0vvu9krr584a","perc_offset",2,2,0.029035205466379,0.00153804576953864,"perc_offset"
"5","1qs0vvu9krr584a","perc_offset",3,1,0.0185166136115223,0.000163806571312541,"perc_offset"
"6","1qs0vvu9krr584a","perc_offset",3,2,0.018517891006247,0.0329218106995885,"perc_offset"
"7","1tq0jt4dd31u8lq","perc_offset",1,1,0.214677640596616,-3.76335284635321e-06,"value_alt_offset"
"8","1tq0jt4dd31u8lq","perc_offset",1,2,0.277777777778171,9.78471740042952e-05,"value_alt_offset"
"9","1tq0jt4dd31u8lq","perc_offset",2,1,0.0171467764060357,0.201562513975339,"value_alt_offset"
"10","1tq0jt4dd31u8lq","perc_offset",2,2,0.273662551440329,0.205761316872428,"value_alt_offset"
"11","1tq0jt4dd31u8lq","perc_offset",3,1,0.0555047502921303,0.32657623329777,"value_alt_offset"
"12","1tq0jt4dd31u8lq","perc_offset",3,2,0.195473251028807,0.312757201646091,"value_alt_offset"
"13","22260uys7arz8j6","perc_offset",1,1,0.845679012345679,0.342935543607762,"value_alt_offset"
"14","22260uys7arz8j6","perc_offset",1,2,0.845679012345679,0.246913580246914,"value_alt_offset"
"15","22260uys7arz8j6","perc_offset",2,1,0.783950617283951,0.419753086419753,"value_alt_offset"
"16","22260uys7arz8j6","perc_offset",2,2,0.726337448559671,0.444444444444444,"value_alt_offset"
"17","22260uys7arz8j6","perc_offset",3,1,0.84567901234568,0.639231829579359,"value_alt_offset"
"18","22260uys7arz8j6","perc_offset",3,2,0.846136259716507,0.740740740747822,"value_alt_offset"
"19","2bqu5ktkg43fh3p","perc_offset",1,1,0.0555053775176047,0.000304847067600589,"perc_offset"
"20","2bqu5ktkg43fh3p","perc_offset",1,2,0.191358024691358,0.00274348422496562,"value_alt_offset"
