"","sub","model","rr","pu","omega","lambda","offset","bestfit"
"1","1qs0vvu9krr584a","value_alt_offset",1,1,0.5,0.675303171868657,-0.0068587105625163,"perc_offset"
"2","1qs0vvu9krr584a","value_alt_offset",1,2,0.5,0.185185185185185,-0.0374999991288534,"perc_offset"
"3","1qs0vvu9krr584a","value_alt_offset",2,1,0.5,0.0617283950617287,0.00444444233999053,"perc_offset"
"4","1qs0vvu9krr584a","value_alt_offset",2,2,0.5,0.0617283950617287,0.00333332474262416,"perc_offset"
"5","1qs0vvu9krr584a","value_alt_offset",3,1,0.5,0.0617283950617287,0.000277773921869118,"perc_offset"
"6","1qs0vvu9krr584a","value_alt_offset",3,2,0.5,0.65843621404488,-0.0946502057648575,"perc_offset"
"7","1tq0jt4dd31u8lq","value_alt_offset",1,1,0.5,1.72839506172847,0.00736676319310736,"value_alt_offset"
"8","1tq0jt4dd31u8lq","value_alt_offset",1,2,0.5,1.85185185185191,0.00624904740068799,"value_alt_offset"
"9","1tq0jt4dd31u8lq","value_alt_offset",2,1,0.5,1.3783059152096,0.00235801330235463,"value_alt_offset"
"10","1tq0jt4dd31u8lq","value_alt_offset",2,2,0.5,1.68724279835391,-0.00397221891954058,"value_alt_offset"
"11","1tq0jt4dd31u8lq","value_alt_offset",3,1,0.5,1.81013508552281,-0.00960219478733615,"value_alt_offset"
"12","1tq0jt4dd31u8lq","value_alt_offset",3,2,0.5,1.6193528584634,0.036495114223656,"value_alt_offset"
"13","22260uys7arz8j6","value_alt_offset",1,1,0.166666666666667,1.18343912626675,0.0925000019810498,"value_alt_offset"
"14","22260uys7arz8j6","value_alt_offset",1,2,0.166666666666667,2.46557141948164,0.020555555422195,"value_alt_offset"
"15","22260uys7arz8j6","value_alt_offset",2,1,0.166666666666667,1.54798141043567,-0.0123456790123809,"value_alt_offset"
"16","22260uys7arz8j6","value_alt_offset",2,2,0.166666666666667,3.99740772357551,-0.078611113542275,"value_alt_offset"
"17","22260uys7arz8j6","value_alt_offset",3,1,0.166666666666667,2.312479065903,-0.0317516815689115,"value_alt_offset"
"18","22260uys7arz8j6","value_alt_offset",3,2,0.166666666666667,3.95061728395056,-0.0358853059149021,"value_alt_offset"
"19","2bqu5ktkg43fh3p","value_alt_offset",1,1,0.5,0.82304526748951,-0.00320073159575918,"perc_offset"
"20","2bqu5ktkg43fh3p","value_alt_offset",1,2,0.5,1.56835848193895,0.0169181527205799,"value_alt_offset"
"21","2bqu5ktkg43fh3p","value_alt_offset",2,1,0.5,0.721434740638912,-0.00502972107871025,"perc_offset"
"22","2bqu5ktkg43fh3p","value_alt_offset",2,2,0.166666666666667,0.574038418904622,-0.98353909465022,"value_alt_offset"
"23","2bqu5ktkg43fh3p","value_alt_offset",3,1,0.5,3.99176954732051,-0.470795341582879,"perc_offset"
