"","sub","rr","pu","lambda","omega","offset","model"
"1","1qs0vvu9krr584a","25","high",0.0617283950617287,0.5,-0.00535714510892549,"value_alt"
"2","1qs0vvu9krr584a","25","low",5,0.5,0,"value_alt"
"3","1qs0vvu9krr584a","50","high",0.0617283950617287,0.5,0.000357140141393986,"value_alt"
"4","1qs0vvu9krr584a","50","low",5,0.5,0,"value_alt"
"5","1qs0vvu9krr584a","75","high",0.609452062107226,0.5,-0.00868770004638153,"value_alt"
"6","1qs0vvu9krr584a","75","low",5,0.5,0,"value_alt"
"7","1tq0jt4dd31u8lq","25","high",5,0.5,0,"value_alt"
"8","1tq0jt4dd31u8lq","25","low",5,0.5,0,"value_alt"
"9","1tq0jt4dd31u8lq","50","high",1.89300411522656,0.5,-0.0389676370481161,"value_alt"
"10","1tq0jt4dd31u8lq","50","low",1.41289437585751,0.5,0.00137174211247792,"value_alt"
"11","1tq0jt4dd31u8lq","75","high",1.60493827160498,0.5,0.0367322054564228,"value_alt"
"12","1tq0jt4dd31u8lq","75","low",1.65145331280313,0.5,0.0041152263374018,"value_alt"
"13","22260uys7arz8j6","25","high",2.62473034821858,0.166666666666667,0.0206306022187848,"value_alt"
"14","22260uys7arz8j6","25","low",5,0.5,0,"value_alt"
"15","22260uys7arz8j6","50","high",3.8271604938265,0.166666666666667,-0.0889118982855591,"value_alt"
"16","22260uys7arz8j6","50","low",5,0.5,0,"value_alt"
"17","22260uys7arz8j6","75","high",5,0.5,0,"value_alt"
"18","22260uys7arz8j6","75","low",2.81400838611816,0.166666666666667,-0.069434556931758,"value_alt"
"19","2bqu5ktkg43fh3p","25","high",1.59122085046857,0.5,0.023319615912242,"value_alt"
"20","2bqu5ktkg43fh3p","25","low",0.740740740740958,0.5,-0.00167657369535124,"value_alt"
"21","2bqu5ktkg43fh3p","50","high",5,0.5,0,"value_alt"
"22","2bqu5ktkg43fh3p","50","low",5,0.5,0,"value_alt"
"23","2bqu5ktkg43fh3p","75","high",5,0.5,0,"value_alt"
"24","2bqu5ktkg43fh3p","75","low",4.27983539094453,0.5,-0.520804755371651,"value_alt"
"25","2mzs709cn5dlwj2","25","high",9.99999999999935,0.166666666666667,0.00995220811082831,"value_alt"
