"","matrix...nrow...iter...K.","sub","iter","fold","offset_value_alt_offsetR3P2","omega_value_alt_offsetR3P2","lambda_value_alt_offsetR3P2","mae_value_alt_offsetR3P2","rmse_value_alt_offsetR3P2","spearman_value_alt_offsetR3P2","offset_value_alt_offsetR2P1","omega_value_alt_offsetR2P1","lambda_value_alt_offsetR2P1","mae_value_alt_offsetR2P1","rmse_value_alt_offsetR2P1","spearman_value_alt_offsetR2P1","offset_value_alt_offsetR1P1","omega_value_alt_offsetR1P1","lambda_value_alt_offsetR1P1","mae_value_alt_offsetR1P1","rmse_value_alt_offsetR1P1","spearman_value_alt_offsetR1P1","offset_value_alt_offsetR2P2","omega_value_alt_offsetR2P2","lambda_value_alt_offsetR2P2","mae_value_alt_offsetR2P2","rmse_value_alt_offsetR2P2","spearman_value_alt_offsetR2P2","offset_value_alt_offsetR1P2","omega_value_alt_offsetR1P2","lambda_value_alt_offsetR1P2","mae_value_alt_offsetR1P2","rmse_value_alt_offsetR1P2","spearman_value_alt_offsetR1P2","offset_value_alt_offsetR3P1","omega_value_alt_offsetR3P1","lambda_value_alt_offsetR3P1","mae_value_alt_offsetR3P1","rmse_value_alt_offsetR3P1","spearman_value_alt_offsetR3P1","rho_perc_estR3P2","mae_perc_estR3P2","rmse_perc_estR3P2","spearman_perc_estR3P2","rho_perc_estR2P1","mae_perc_estR2P1","rmse_perc_estR2P1","spearman_perc_estR2P1","rho_perc_estR1P1","mae_perc_estR1P1","rmse_perc_estR1P1","spearman_perc_estR1P1","rho_perc_estR2P2","mae_perc_estR2P2","rmse_perc_estR2P2","spearman_perc_estR2P2","rho_perc_estR1P2","mae_perc_estR1P2","rmse_perc_estR1P2","spearman_perc_estR1P2","rho_perc_estR3P1","mae_perc_estR3P1","rmse_perc_estR3P1","spearman_perc_estR3P1"
"1",NA,"l7kobq2fs7s15go",1,1,-0.404762557997416,0.166666666666667,5.3086419753093,0.0868344644015688,0.113724996890765,0.503003030003569,-0.0242341106538231,0.5,2.2222222222222,0.0368519496619178,0.0450615896108905,0.963624111659432,0.0640014611690236,0.5,1.54346390284263,0.0844868718987458,0.0929935979096898,0.931720985556876,0.00180731447686,0.5,3.08641975308664,0.0565180734215883,0.0629680504695309,0.901127113779166,0.0123487996524068,0.166666666666667,2.0089452341807,0.0848113730467389,0.135846997437605,0.626551500525444,-0.124301448791146,0.166666666666667,2.93200000227564,0.147874756754626,0.164848388162345,0.97007727214974,0.60973936899863,0.2275,0.259229627936314,0.755928946018455,0.5,0.31,0.347383073853635,NA,0.177640603566529,0.15,0.204144556625936,NA,0.589620484682213,0.33125,0.373111913505854,0.247435829652697,0.944444444444449,0.16625,0.186447043419841,-0.577350269189626,0.943072702331962,0.43,0.575304267322953,0.0829739813645022
"2",NA,"l7kobq2fs7s15go",2,1,-0.404762557997416,0.166666666666667,5.3086419753093,0.0868344644015688,0.113724996890765,0.503003030003569,-0.0242341106538231,0.5,2.2222222222222,0.0368519496619178,0.0450615896108905,0.963624111659432,0.0640014611690236,0.5,1.54346390284263,0.0844868718987458,0.0929935979096898,0.931720985556876,0.00180731447686,0.5,3.08641975308664,0.0565180734215883,0.0629680504695309,0.901127113779166,0.0123487996524068,0.166666666666667,2.0089452341807,0.0848113730467389,0.135846997437605,0.626551500525444,-0.124301448791146,0.166666666666667,2.93200000227564,0.147874756754626,0.164848388162345,0.97007727214974,0.716278006401463,0.345,0.39560080889705,NA,0.5,0.28125,0.325595608078487,0.0824786098842323,0.190443529949703,0.15,0.204144556625936,NA,0.380658436213992,0.39125,0.411354470013394,NA,0.912894375857339,0.15625,0.17989580317506,-0.394405318873308,0.672839506172839,0.37875,0.538968923037312,NA
"3",NA,"l7kobq2fs7s15go",3,1,-0.404762557997416,0.166666666666667,5.3086419753093,0.0868344644015688,0.113724996890765,0.503003030003569,-0.0242341106538231,0.5,2.2222222222222,0.0368519496619178,0.0450615896108905,0.963624111659432,0.0640014611690236,0.5,1.54346390284263,0.0844868718987458,0.0929935979096898,0.931720985556876,0.00180731447686,0.5,3.08641975308664,0.0565180734215883,0.0629680504695309,0.901127113779166,0.0123487996524068,0.166666666666667,2.0089452341807,0.0848113730467389,0.135846997437605,0.626551500525444,-0.124301448791146,0.166666666666667,2.93200000227564,0.147874756754626,0.164848388162345,0.97007727214974,0.501371742112483,0.345,0.39560080889705,NA,0.5,0.26125,0.309535942985625,0.247435829652697,0.239978661789361,0.15,0.204144556625936,NA,0.468449931412894,0.35375,0.387894960008505,-0.0824786098842323,0.526520347508002,0.14125,0.169595106061466,0.0824786098842323,0.940786465477824,0.28,0.450111097397076,0.414869906822511
"4",NA,"l7kobq2fs7s15go",4,1,-0.404762557997416,0.166666666666667,5.3086419753093,0.0868344644015688,0.113724996890765,0.503003030003569,-0.0242341106538231,0.5,2.2222222222222,0.0368519496619178,0.0450615896108905,0.963624111659432,0.0640014611690236,0.5,1.54346390284263,0.0844868718987458,0.0929935979096898,0.931720985556876,0.00180731447686,0.5,3.08641975308664,0.0565180734215883,0.0629680504695309,0.901127113779166,0.0123487996524068,0.166666666666667,2.0089452341807,0.0848113730467389,0.135846997437605,0.626551500525444,-0.124301448791146,0.166666666666667,2.93200000227564,0.147874756754626,0.164848388162345,0.97007727214974,0.762002743484226,0.345,0.39560080889705,NA,0.5,0.375,0.392205303380768,-0.629940788348712,0.472565157750343,0.15,0.204144556625936,NA,0.360082304526749,0.39125,0.411354470013394,NA,0.862139916835082,0.14375,0.171354894881938,NA,0.849796120359551,0.19375,0.320721842099973,0.633724250524478
"5",NA,"l7kobq2fs7s15go",5,1,-0.404762557997416,0.166666666666667,5.3086419753093,0.0868344644015688,0.113724996890765,0.503003030003569,-0.0242341106538231,0.5,2.2222222222222,0.0368519496619178,0.0450615896108905,0.963624111659432,0.0640014611690236,0.5,1.54346390284263,0.0844868718987458,0.0929935979096898,0.931720985556876,0.00180731447686,0.5,3.08641975308664,0.0565180734215883,0.0629680504695309,0.901127113779166,0.0123487996524068,0.166666666666667,2.0089452341807,0.0848113730467389,0.135846997437605,0.626551500525444,-0.124301448791146,0.166666666666667,2.93200000227564,0.147874756754626,0.164848388162345,0.97007727214974,0.981481481481481,0.345,0.39560080889705,NA,0.5,0.2675,0.314642654451045,0,0.284636488340192,0.15,0.204144556625936,NA,0.337829599146472,0.32875,0.36805230606532,0.577350269189626,0.907407407407407,0.11625,0.150872462696146,0.251976315339485,0.862597165066301,0.45,0.552539591341652,-0.113364040253027
"6",NA,"l7kobq2fs7s15go",6,1,-0.404762557997416,0.166666666666667,5.3086419753093,0.0868344644015688,0.113724996890765,0.503003030003569,-0.0242341106538231,0.5,2.2222222222222,0.0368519496619178,0.0450615896108905,0.963624111659432,0.0640014611690236,0.5,1.54346390284263,0.0844868718987458,0.0929935979096898,0.931720985556876,0.00180731447686,0.5,3.08641975308664,0.0565180734215883,0.0629680504695309,0.901127113779166,0.0123487996524068,0.166666666666667,2.0089452341807,0.0848113730467389,0.135846997437605,0.626551500525444,-0.124301448791146,0.166666666666667,2.93200000227564,0.147874756754626,0.164848388162345,0.97007727214974,0.781664380429812,0.395,0.441021541423999,-0.247435829652697,0.5,0.195,0.249048188108245,0.755928946018455,0.211934156378601,0.15,0.204144556625936,NA,0.323045267489712,0.32875,0.36805230606532,0.577350269189626,0.671467764060357,0.14375,0.171354894881938,NA,0.246227709190672,0.45,0.588876048078031,-0.248921944093507
"7",NA,"l7kobq2fs7s15go",7,1,-0.404762557997416,0.166666666666667,5.3086419753093,0.0868344644015688,0.113724996890765,0.503003030003569,-0.0242341106538231,0.5,2.2222222222222,0.0368519496619178,0.0450615896108905,0.963624111659432,0.0640014611690236,0.5,1.54346390284263,0.0844868718987458,0.0929935979096898,0.931720985556876,0.00180731447686,0.5,3.08641975308664,0.0565180734215883,0.0629680504695309,0.901127113779166,0.0123487996524068,0.166666666666667,2.0089452341807,0.0848113730467389,0.135846997437605,0.626551500525444,-0.124301448791146,0.166666666666667,2.93200000227564,0.147874756754626,0.164848388162345,0.97007727214974,0.796296296296296,0.29,0.338673884437522,0.412393049421161,0.5,0.31,0.347383073853635,NA,0.370598994055784,0.15,0.204144556625936,NA,0.84156378600823,0.39125,0.411354470013394,NA,0.969135802469136,0.13875,0.167816864468384,-0.125988157669742,0.888660265203475,0.45,0.588876048078031,-0.248921944093507
"8",NA,"l7kobq2fs7s15go",8,1,-0.404762557997416,0.166666666666667,5.3086419753093,0.0868344644015688,0.113724996890765,0.503003030003569,-0.0242341106538231,0.5,2.2222222222222,0.0368519496619178,0.0450615896108905,0.963624111659432,0.0640014611690236,0.5,1.54346390284263,0.0844868718987458,0.0929935979096898,0.931720985556876,0.00180731447686,0.5,3.08641975308664,0.0565180734215883,0.0629680504695309,0.901127113779166,0.0123487996524068,0.166666666666667,2.0089452341807,0.0848113730467389,0.135846997437605,0.626551500525444,-0.124301448791146,0.166666666666667,2.93200000227564,0.147874756754626,0.164848388162345,0.97007727214974,0.85192805974699,0.4225,0.464112055434892,-0.251976315339485,0.5,0.28125,0.325595608078487,0.0824786098842323,0.347736625514403,0.15,0.204144556625936,NA,0.418152720621856,0.33125,0.373111913505854,0.247435829652697,0.969135802469136,0.13875,0.167816864468384,0.247435829652697,0.998856881572931,0.33125,0.459877701133682,0.506979400419582
"9",NA,"l7kobq2fs7s15go",9,1,-0.404762557997416,0.166666666666667,5.3086419753093,0.0868344644015688,0.113724996890765,0.503003030003569,-0.0242341106538231,0.5,2.2222222222222,0.0368519496619178,0.0450615896108905,0.963624111659432,0.0640014611690236,0.5,1.54346390284263,0.0844868718987458,0.0929935979096898,0.931720985556876,0.00180731447686,0.5,3.08641975308664,0.0565180734215883,0.0629680504695309,0.901127113779166,0.0123487996524068,0.166666666666667,2.0089452341807,0.0848113730467389,0.135846997437605,0.626551500525444,-0.124301448791146,0.166666666666667,2.93200000227564,0.147874756754626,0.164848388162345,0.97007727214974,0.981481481481486,0.4075,0.451663591625449,-0.377964473009227,0.5,0.26125,0.309535942985625,0.247435829652697,0.129934461210181,0.15,0.204144556625936,NA,0.639917695473251,0.33875,0.378103821720966,0.0824786098842323,0.883630544124371,0.14375,0.171354894881938,-0.0824786098842323,0.907407404826233,0.59,0.676295053952045,-0.340092120759081
"10",NA,"l7kobq2fs7s15go",10,1,-0.404762557997416,0.166666666666667,5.3086419753093,0.0868344644015688,0.113724996890765,0.503003030003569,-0.0242341106538231,0.5,2.2222222222222,0.0368519496619178,0.0450615896108905,0.963624111659432,0.0640014611690236,0.5,1.54346390284263,0.0844868718987458,0.0929935979096898,0.931720985556876,0.00180731447686,0.5,3.08641975308664,0.0565180734215883,0.0629680504695309,0.901127113779166,0.0123487996524068,0.166666666666667,2.0089452341807,0.0848113730467389,0.135846997437605,0.626551500525444,-0.124301448791146,0.166666666666667,2.93200000227564,0.147874756754626,0.164848388162345,0.97007727214974,0.545267489711934,0.2825,0.330151480384384,0.577350269189626,0.5,0.31,0.347383073853635,NA,0.250342935528121,0.10625,0.148281826263369,0.591607978309962,0.496342021033379,0.39125,0.411354470013394,NA,0.981938728852309,0.18375,0.197389209431519,-0.755928946018455,0.986511202560585,0.4775,0.607042008431047,-0.497843888187013
