"","matrix...nrow...iter...K.","sub","iter","fold","offset_value_alt_offsetR2P2","omega_value_alt_offsetR2P2","lambda_value_alt_offsetR2P2","mae_value_alt_offsetR2P2","rmse_value_alt_offsetR2P2","spearman_value_alt_offsetR2P2","offset_value_alt_offsetR3P1","omega_value_alt_offsetR3P1","lambda_value_alt_offsetR3P1","mae_value_alt_offsetR3P1","rmse_value_alt_offsetR3P1","spearman_value_alt_offsetR3P1","offset_value_alt_offsetR1P1","omega_value_alt_offsetR1P1","lambda_value_alt_offsetR1P1","mae_value_alt_offsetR1P1","rmse_value_alt_offsetR1P1","spearman_value_alt_offsetR1P1","offset_value_alt_offsetR3P2","omega_value_alt_offsetR3P2","lambda_value_alt_offsetR3P2","mae_value_alt_offsetR3P2","rmse_value_alt_offsetR3P2","spearman_value_alt_offsetR3P2","offset_value_alt_offsetR1P2","omega_value_alt_offsetR1P2","lambda_value_alt_offsetR1P2","mae_value_alt_offsetR1P2","rmse_value_alt_offsetR1P2","spearman_value_alt_offsetR1P2","offset_value_alt_offsetR2P1","omega_value_alt_offsetR2P1","lambda_value_alt_offsetR2P1","mae_value_alt_offsetR2P1","rmse_value_alt_offsetR2P1","spearman_value_alt_offsetR2P1","rho_perc_estR2P2","mae_perc_estR2P2","rmse_perc_estR2P2","spearman_perc_estR2P2","rho_perc_estR3P1","mae_perc_estR3P1","rmse_perc_estR3P1","spearman_perc_estR3P1","rho_perc_estR1P1","mae_perc_estR1P1","rmse_perc_estR1P1","spearman_perc_estR1P1","rho_perc_estR3P2","mae_perc_estR3P2","rmse_perc_estR3P2","spearman_perc_estR3P2","rho_perc_estR1P2","mae_perc_estR1P2","rmse_perc_estR1P2","spearman_perc_estR1P2","rho_perc_estR2P1","mae_perc_estR2P1","rmse_perc_estR2P1","spearman_perc_estR2P1"
"1",NA,"mmjryby874fs60o",1,1,-0.0095266882547923,0.166666666666667,4.73796714634704,0.0879273795274645,0.101479288590113,0.975900072948533,-0.088196419603853,0.166666666666667,3.98907401358424,0.114141146011546,0.143536960455008,0.860621866478778,0,0.5,5,0.161199618289869,0.197077441041728,-0.327361427357821,-0.0158819128547546,0.166666666666667,4.60732745345329,0.0464198740115715,0.0556299122978054,0.938557750600593,0,0.5,5,0.11583211787346,0.172728135119495,0.10976425998969,0.0673400619437572,0.166666666666667,1.35802469135826,0.0493897525456822,0.0614065968541478,0.920678655262943,0.912437128486511,0.32625,0.38683006604968,-0.109108945117996,0.642203932327389,0.74375,0.774830626653335,NA,0.941243712848651,0.355,0.37030392922571,NA,0.978280749885688,0.65,0.683373982530796,-0.412393049421161,0.971879286694101,0.2825,0.325998466254061,NA,0.790352080475537,0.35,0.431508980207828,-0.453456161012109
"2",NA,"mmjryby874fs60o",2,1,-0.0095266882547923,0.166666666666667,4.73796714634704,0.0879273795274645,0.101479288590113,0.975900072948533,-0.088196419603853,0.166666666666667,3.98907401358424,0.114141146011546,0.143536960455008,0.860621866478778,0,0.5,5,0.161199618289869,0.197077441041728,-0.327361427357821,-0.0158819128547546,0.166666666666667,4.60732745345329,0.0464198740115715,0.0556299122978054,0.938557750600593,0,0.5,5,0.11583211787346,0.172728135119495,0.10976425998969,0.0673400619437572,0.166666666666667,1.35802469135826,0.0493897525456822,0.0614065968541478,0.920678655262943,0.890997307607836,0.31125,0.396405726497486,-0.0563436169819011,0.886526444139613,0.74375,0.774830626653335,NA,0.967611644566377,0.33,0.346590536512467,0.255145953337537,0.888507849413199,0.5975,0.635609943282828,0.412393049421161,0.896281054717269,0.245,0.285438259523842,0.0633724250524478,0.808184727937814,0.3825,0.404227658628155,0.580817869551516
"3",NA,"mmjryby874fs60o",3,1,-0.0095266882547923,0.166666666666667,4.73796714634704,0.0879273795274645,0.101479288590113,0.975900072948533,-0.088196419603853,0.166666666666667,3.98907401358424,0.114141146011546,0.143536960455008,0.860621866478778,0,0.5,5,0.161199618289869,0.197077441041728,-0.327361427357821,-0.0158819128547546,0.166666666666667,4.60732745345329,0.0464198740115715,0.0556299122978054,0.938557750600593,0,0.5,5,0.11583211787346,0.172728135119495,0.10976425998969,0.0673400619437572,0.166666666666667,1.35802469135826,0.0493897525456822,0.0614065968541478,0.920678655262943,0.714449016918153,0.46875,0.493343186838533,NA,0.874536401971244,0.66875,0.724870678121277,-0.251976315339485,0.981480854256012,0.355,0.37030392922571,NA,0.993827160493827,0.685,0.701070609853244,NA,0.869913122999543,0.2825,0.325998466254061,NA,0.965020578716403,0.43,0.477493455452533,NA
"4",NA,"mmjryby874fs60o",4,1,-0.0095266882547923,0.166666666666667,4.73796714634704,0.0879273795274645,0.101479288590113,0.975900072948533,-0.088196419603853,0.166666666666667,3.98907401358424,0.114141146011546,0.143536960455008,0.860621866478778,0,0.5,5,0.161199618289869,0.197077441041728,-0.327361427357821,-0.0158819128547546,0.166666666666667,4.60732745345329,0.0464198740115715,0.0556299122978054,0.938557750600593,0,0.5,5,0.11583211787346,0.172728135119495,0.10976425998969,0.0673400619437572,0.166666666666667,1.35802469135826,0.0493897525456822,0.0614065968541478,0.920678655262943,0.462962962962963,0.43625,0.476589445959518,-0.247435829652697,0.94444443670092,0.48,0.590127104952823,0.281718084909506,0.944444444444444,0.355,0.37030392922571,NA,0.947187719594252,0.685,0.701070609853244,NA,0.956942562477639,0.24375,0.3070219861834,0.248921944093507,0.899160019644702,0.3825,0.448776113446337,0.414869906822511
"5",NA,"mmjryby874fs60o",5,1,-0.0095266882547923,0.166666666666667,4.73796714634704,0.0879273795274645,0.101479288590113,0.975900072948533,-0.088196419603853,0.166666666666667,3.98907401358424,0.114141146011546,0.143536960455008,0.860621866478778,0,0.5,5,0.161199618289869,0.197077441041728,-0.327361427357821,-0.0158819128547546,0.166666666666667,4.60732745345329,0.0464198740115715,0.0556299122978054,0.938557750600593,0,0.5,5,0.11583211787346,0.172728135119495,0.10976425998969,0.0673400619437572,0.166666666666667,1.35802469135826,0.0493897525456822,0.0614065968541478,0.920678655262943,0.945816186556927,0.40625,0.435473879813704,0.577350269189626,0.971269623532998,0.6425,0.71147733625183,0.0824786098842323,0.882716049382716,0.355,0.37030392922571,NA,0.970202713001067,0.5975,0.655934447944305,-0.0824786098842323,0.92798353909465,0.255,0.31264996401727,-0.190117275157343,0.97599451303155,0.43,0.477493455452533,NA
"6",NA,"mmjryby874fs60o",6,1,-0.0095266882547923,0.166666666666667,4.73796714634704,0.0879273795274645,0.101479288590113,0.975900072948533,-0.088196419603853,0.166666666666667,3.98907401358424,0.114141146011546,0.143536960455008,0.860621866478778,0,0.5,5,0.161199618289869,0.197077441041728,-0.327361427357821,-0.0158819128547546,0.166666666666667,4.60732745345329,0.0464198740115715,0.0556299122978054,0.938557750600593,0,0.5,5,0.11583211787346,0.172728135119495,0.10976425998969,0.0673400619437572,0.166666666666667,1.35802469135826,0.0493897525456822,0.0614065968541478,0.920678655262943,0.85116598079561,0.34375,0.416398246874311,0.125988157669742,0.622085048010974,0.6425,0.70288690413181,0.412393049421161,0.900091449474165,0.355,0.37030392922571,NA,0.985596637266819,0.51,0.567230112035671,0.629940788348712,0.940346176457244,0.26,0.315119025131775,-0.380234550314687,0.917009602194787,0.43,0.477493455452533,NA
"7",NA,"mmjryby874fs60o",7,1,-0.0095266882547923,0.166666666666667,4.73796714634704,0.0879273795274645,0.101479288590113,0.975900072948533,-0.088196419603853,0.166666666666667,3.98907401358424,0.114141146011546,0.143536960455008,0.860621866478778,0,0.5,5,0.161199618289869,0.197077441041728,-0.327361427357821,-0.0158819128547546,0.166666666666667,4.60732745345329,0.0464198740115715,0.0556299122978054,0.938557750600593,0,0.5,5,0.11583211787346,0.172728135119495,0.10976425998969,0.0673400619437572,0.166666666666667,1.35802469135826,0.0493897525456822,0.0614065968541478,0.920678655262943,0.685183303508762,0.37375,0.425308711408549,0.125988157669742,0.809556470050297,0.66875,0.726266135793209,-0.377964473009227,0.994284407864655,0.355,0.37030392922571,NA,0.895061720651537,0.685,0.701070609853244,NA,0.827389117512574,0.2825,0.325998466254061,NA,0.929355281205953,0.3975,0.460271658914602,-0.850230301897704
"8",NA,"mmjryby874fs60o",8,1,-0.0095266882547923,0.166666666666667,4.73796714634704,0.0879273795274645,0.101479288590113,0.975900072948533,-0.088196419603853,0.166666666666667,3.98907401358424,0.114141146011546,0.143536960455008,0.860621866478778,0,0.5,5,0.161199618289869,0.197077441041728,-0.327361427357821,-0.0158819128547546,0.166666666666667,4.60732745345329,0.0464198740115715,0.0556299122978054,0.938557750600593,0,0.5,5,0.11583211787346,0.172728135119495,0.10976425998969,0.0673400619437572,0.166666666666667,1.35802469135826,0.0493897525456822,0.0614065968541478,0.920678655262943,0.936213991769547,0.46875,0.493343186838533,NA,0.960905977019713,0.6425,0.70288690413181,0.412393049421161,0.858024691358025,0.33,0.360728429708555,-0.510291906675075,0.993827157912652,0.685,0.701070609853244,NA,0.730452674897119,0.24375,0.284758669753881,0.414869906822511,0.886831275720166,0.43,0.477493455452533,NA
"9",NA,"mmjryby874fs60o",9,1,-0.0095266882547923,0.166666666666667,4.73796714634704,0.0879273795274645,0.101479288590113,0.975900072948533,-0.088196419603853,0.166666666666667,3.98907401358424,0.114141146011546,0.143536960455008,0.860621866478778,0,0.5,5,0.161199618289869,0.197077441041728,-0.327361427357821,-0.0158819128547546,0.166666666666667,4.60732745345329,0.0464198740115715,0.0556299122978054,0.938557750600593,0,0.5,5,0.11583211787346,0.172728135119495,0.10976425998969,0.0673400619437572,0.166666666666667,1.35802469135826,0.0493897525456822,0.0614065968541478,0.920678655262943,0.838363054412437,0.39125,0.444001689185976,-0.125988157669742,0.990169181527206,0.50625,0.602857777589375,-0.109108945117996,0.873113846851812,0.305,0.321130814466628,0.389741881476978,0.639917695473251,0.5075,0.583952052826257,-0.169030850945703,0.936976070720926,0.24375,0.267931894331377,0.580817869551516,0.882716049382716,0.445,0.483425278610873,-0.580817869551516
"10",NA,"mmjryby874fs60o",10,1,-0.0095266882547923,0.166666666666667,4.73796714634704,0.0879273795274645,0.101479288590113,0.975900072948533,-0.088196419603853,0.166666666666667,3.98907401358424,0.114141146011546,0.143536960455008,0.860621866478778,0,0.5,5,0.161199618289869,0.197077441041728,-0.327361427357821,-0.0158819128547546,0.166666666666667,4.60732745345329,0.0464198740115715,0.0556299122978054,0.938557750600593,0,0.5,5,0.11583211787346,0.172728135119495,0.10976425998969,0.0673400619437572,0.166666666666667,1.35802469135826,0.0493897525456822,0.0614065968541478,0.920678655262943,0.90740740741803,0.35875,0.416398246874311,-0.169030850945703,0.938500228623685,0.6425,0.70288690413181,0.412393049421161,0.89550266532238,0.305,0.331096662622866,0.0649569802461631,0.978737997256516,0.565,0.630079360080935,-0.251976315339485,0.907407407407408,0.2825,0.325998466254061,NA,0.938957483739218,0.3825,0.45403744338986,-0.248921944093507
