"","matrix...nrow...iter...K.","sub","iter","fold","offset_value_alt_offsetR3P1","omega_value_alt_offsetR3P1","lambda_value_alt_offsetR3P1","mae_value_alt_offsetR3P1","rmse_value_alt_offsetR3P1","spearman_value_alt_offsetR3P1","offset_value_alt_offsetR2P2","omega_value_alt_offsetR2P2","lambda_value_alt_offsetR2P2","mae_value_alt_offsetR2P2","rmse_value_alt_offsetR2P2","spearman_value_alt_offsetR2P2","offset_value_alt_offsetR1P2","omega_value_alt_offsetR1P2","lambda_value_alt_offsetR1P2","mae_value_alt_offsetR1P2","rmse_value_alt_offsetR1P2","spearman_value_alt_offsetR1P2","offset_value_alt_offsetR2P1","omega_value_alt_offsetR2P1","lambda_value_alt_offsetR2P1","mae_value_alt_offsetR2P1","rmse_value_alt_offsetR2P1","spearman_value_alt_offsetR2P1","offset_value_alt_offsetR1P1","omega_value_alt_offsetR1P1","lambda_value_alt_offsetR1P1","mae_value_alt_offsetR1P1","rmse_value_alt_offsetR1P1","spearman_value_alt_offsetR1P1","offset_value_alt_offsetR3P2","omega_value_alt_offsetR3P2","lambda_value_alt_offsetR3P2","mae_value_alt_offsetR3P2","rmse_value_alt_offsetR3P2","spearman_value_alt_offsetR3P2","rho_perc_estR3P1","mae_perc_estR3P1","rmse_perc_estR3P1","spearman_perc_estR3P1","rho_perc_estR2P2","mae_perc_estR2P2","rmse_perc_estR2P2","spearman_perc_estR2P2","rho_perc_estR1P2","mae_perc_estR1P2","rmse_perc_estR1P2","spearman_perc_estR1P2","rho_perc_estR2P1","mae_perc_estR2P1","rmse_perc_estR2P1","spearman_perc_estR2P1","rho_perc_estR1P1","mae_perc_estR1P1","rmse_perc_estR1P1","spearman_perc_estR1P1","rho_perc_estR3P2","mae_perc_estR3P2","rmse_perc_estR3P2","spearman_perc_estR3P2"
"1",NA,"qw7q50m2o58ugvl",1,1,0,0.5,5,0.406406705735814,0.448596347020267,0.808888587688669,-0.0123281166274181,0.5,2.22222222222216,0.098000133824769,0.142717343811343,0.681462990469484,0,0.5,5,0.0981561621857971,0.120197907564194,0.757169077069993,0.00960219478736923,0.5,1.48148148148154,0.0735926073750025,0.118847118545957,0.755449447748819,0.00411522633743777,0.5,1.97530864197553,0.0456242381156069,0.0528197553027631,0.773722639998807,0.0630480774256106,0.5,1.80074552035425,0.0877758697944278,0.116170613719916,0.687440062596331,0.326245999085505,0.245,0.375099986670221,0.248921944093507,0.5,0.24125,0.300020832610004,-0.248921944093507,0.365721688766956,0.17,0.185674446276271,NA,0.5,0.2,0.280223125384041,0.255030685225335,0.462968607992232,0.14625,0.175392417167904,NA,0.5,0.41125,0.488965745221483,NA
"2",NA,"qw7q50m2o58ugvl",2,1,0,0.5,5,0.406406705735814,0.448596347020267,0.808888587688669,-0.0123281166274181,0.5,2.22222222222216,0.098000133824769,0.142717343811343,0.681462990469484,0,0.5,5,0.0981561621857971,0.120197907564194,0.757169077069993,0.00960219478736923,0.5,1.48148148148154,0.0735926073750025,0.118847118545957,0.755449447748819,0.00411522633743777,0.5,1.97530864197553,0.0456242381156069,0.0528197553027631,0.773722639998807,0.0630480774256106,0.5,1.80074552035425,0.0877758697944278,0.116170613719916,0.687440062596331,0.201874714220393,0.245,0.375099986670221,0.248921944093507,0.5,0.13875,0.196373368866555,0.580817869551516,0.389346136259717,0.17,0.185674446276271,NA,0.5,0.31,0.363902459458575,NA,0.195473251028807,0.08875,0.128013671144921,0.389741881476978,0.5,0.41125,0.488965745221483,NA
"3",NA,"qw7q50m2o58ugvl",3,1,0,0.5,5,0.406406705735814,0.448596347020267,0.808888587688669,-0.0123281166274181,0.5,2.22222222222216,0.098000133824769,0.142717343811343,0.681462990469484,0,0.5,5,0.0981561621857971,0.120197907564194,0.757169077069993,0.00960219478736923,0.5,1.48148148148154,0.0735926073750025,0.118847118545957,0.755449447748819,0.00411522633743777,0.5,1.97530864197553,0.0456242381156069,0.0528197553027631,0.773722639998807,0.0630480774256106,0.5,1.80074552035425,0.0877758697944278,0.116170613719916,0.687440062596331,0.504115226337449,0.1475,0.258263431402899,0.760469100629374,0.5,0.2,0.264196896272458,NA,0.178555098308185,0.17,0.185674446276271,NA,0.5,0.31,0.363902459458575,NA,0.386145334972204,0.14625,0.175392417167904,NA,0.5,0.41125,0.488965745221483,NA
"4",NA,"qw7q50m2o58ugvl",4,1,0,0.5,5,0.406406705735814,0.448596347020267,0.808888587688669,-0.0123281166274181,0.5,2.22222222222216,0.098000133824769,0.142717343811343,0.681462990469484,0,0.5,5,0.0981561621857971,0.120197907564194,0.757169077069993,0.00960219478736923,0.5,1.48148148148154,0.0735926073750025,0.118847118545957,0.755449447748819,0.00411522633743777,0.5,1.97530864197553,0.0456242381156069,0.0528197553027631,0.773722639998807,0.0630480774256106,0.5,1.80074552035425,0.0877758697944278,0.116170613719916,0.687440062596331,0.508687700045725,0.245,0.375099986670221,0.248921944093507,0.5,0.23375,0.293832435241585,0,0.283264746227709,0.1125,0.141774468787578,0.536924844171219,0.5,0.36375,0.398450122349084,-0.584348709790777,0.350480109739369,0.165,0.188281703837627,-0.34019460445005,0.5,0.41125,0.488965745221483,NA
"5",NA,"qw7q50m2o58ugvl",5,1,0,0.5,5,0.406406705735814,0.448596347020267,0.808888587688669,-0.0123281166274181,0.5,2.22222222222216,0.098000133824769,0.142717343811343,0.681462990469484,0,0.5,5,0.0981561621857971,0.120197907564194,0.757169077069993,0.00960219478736923,0.5,1.48148148148154,0.0735926073750025,0.118847118545957,0.755449447748819,0.00411522633743777,0.5,1.97530864197553,0.0456242381156069,0.0528197553027631,0.773722639998807,0.0630480774256106,0.5,1.80074552035425,0.0877758697944278,0.116170613719916,0.687440062596331,0.411294010059442,0.3275,0.449165893629514,NA,0.5,0.2,0.264196896272458,NA,0.299878067367779,0.1125,0.141774468787578,0.536924844171219,0.5,0.3025,0.358817502360183,-0.0637576713063338,0.405044962658131,0.115,0.151492574075431,0.595340557787587,0.5,0.3225,0.415361288518803,0.247435829652697
"6",NA,"qw7q50m2o58ugvl",6,1,0,0.5,5,0.406406705735814,0.448596347020267,0.808888587688669,-0.0123281166274181,0.5,2.22222222222216,0.098000133824769,0.142717343811343,0.681462990469484,0,0.5,5,0.0981561621857971,0.120197907564194,0.757169077069993,0.00960219478736923,0.5,1.48148148148154,0.0735926073750025,0.118847118545957,0.755449447748819,0.00411522633743777,0.5,1.97530864197553,0.0456242381156069,0.0528197553027631,0.773722639998807,0.0630480774256106,0.5,1.80074552035425,0.0877758697944278,0.116170613719916,0.687440062596331,0.277777777777778,0.3275,0.449165893629514,NA,0.5,0.2,0.264196896272458,NA,0.220164609053498,0.17,0.185674446276271,NA,0.5,0.24875,0.32001953065399,0.500870322677809,0.455647005029721,0.1175,0.153541525327841,0.255145953337537,0.5,0.22875,0.316760950876209,0.629940788348712
"7",NA,"qw7q50m2o58ugvl",7,1,0,0.5,5,0.406406705735814,0.448596347020267,0.808888587688669,-0.0123281166274181,0.5,2.22222222222216,0.098000133824769,0.142717343811343,0.681462990469484,0,0.5,5,0.0981561621857971,0.120197907564194,0.757169077069993,0.00960219478736923,0.5,1.48148148148154,0.0735926073750025,0.118847118545957,0.755449447748819,0.00411522633743777,0.5,1.97530864197553,0.0456242381156069,0.0528197553027631,0.773722639998807,0.0630480774256106,0.5,1.80074552035425,0.0877758697944278,0.116170613719916,0.687440062596331,0.463114751524224,0.4075,0.510832653615643,-0.580817869551516,0.5,0.2,0.264196896272458,NA,0.247142203932327,0.14125,0.165189285366818,0.351499820130997,0.5,0.23125,0.306329071424832,0.285132974256101,0.533379058070416,0.14625,0.175392417167904,NA,0.5,0.4475,0.516018410524276,-0.0824786098842323
"8",NA,"qw7q50m2o58ugvl",8,1,0,0.5,5,0.406406705735814,0.448596347020267,0.808888587688669,-0.0123281166274181,0.5,2.22222222222216,0.098000133824769,0.142717343811343,0.681462990469484,0,0.5,5,0.0981561621857971,0.120197907564194,0.757169077069993,0.00960219478736923,0.5,1.48148148148154,0.0735926073750025,0.118847118545957,0.755449447748819,0.00411522633743777,0.5,1.97530864197553,0.0456242381156069,0.0528197553027631,0.773722639998807,0.0630480774256106,0.5,1.80074552035425,0.0877758697944278,0.116170613719916,0.687440062596331,0.199588477366255,0.1525,0.265329983228432,0.633724250524478,0.5,0.21125,0.274431230001252,0.248921944093507,0.516918152720622,0.14125,0.165189285366818,0.351499820130997,0.5,0.25375,0.323824798309209,0.250435161338905,0.289666209419296,0.1175,0.153541525327841,0.255145953337537,0.5,0.32,0.413098051314697,0.412393049421161
"9",NA,"qw7q50m2o58ugvl",9,1,0,0.5,5,0.406406705735814,0.448596347020267,0.808888587688669,-0.0123281166274181,0.5,2.22222222222216,0.098000133824769,0.142717343811343,0.681462990469484,0,0.5,5,0.0981561621857971,0.120197907564194,0.757169077069993,0.00960219478736923,0.5,1.48148148148154,0.0735926073750025,0.118847118545957,0.755449447748819,0.00411522633743777,0.5,1.97530864197553,0.0456242381156069,0.0528197553027631,0.773722639998807,0.0630480774256106,0.5,1.80074552035425,0.0877758697944278,0.116170613719916,0.687440062596331,0.360082304526749,0.22,0.349571165858971,0.510138181138622,0.5,0.2,0.264196896272458,NA,0.453360768175583,0.17,0.185674446276271,NA,0.5,0.31,0.363902459458575,NA,0.243484224965706,0.1175,0.153541525327841,0.255145953337537,0.5,0.41125,0.488965745221483,NA
"10",NA,"qw7q50m2o58ugvl",10,1,0,0.5,5,0.406406705735814,0.448596347020267,0.808888587688669,-0.0123281166274181,0.5,2.22222222222216,0.098000133824769,0.142717343811343,0.681462990469484,0,0.5,5,0.0981561621857971,0.120197907564194,0.757169077069993,0.00960219478736923,0.5,1.48148148148154,0.0735926073750025,0.118847118545957,0.755449447748819,0.00411522633743777,0.5,1.97530864197553,0.0456242381156069,0.0528197553027631,0.773722639998807,0.0630480774256106,0.5,1.80074552035425,0.0877758697944278,0.116170613719916,0.687440062596331,0.665980795610425,0.4075,0.510832653615643,-0.580817869551516,0.5,0.2,0.264196896272458,NA,0.20385611949398,0.17,0.185674446276271,NA,0.5,0.24875,0.32001953065399,0.500870322677809,0.272290809327846,0.08875,0.128013671144921,0.389741881476978,0.5,0.3175,0.40853396431631,0.577350269189626
