"","sub","pu","ou","full_offset","perc_offset","value_alt_offset","bestfit","rr"
"1","1qs0vvu9krr584a",1,1,261.244073284975,259.946895602014,265.883084953565,"perc_offset",1
"2","1qs0vvu9krr584a",2,1,255.33985903621,239.3996627798,243.011893086027,"perc_offset",1
"3","1qs0vvu9krr584a",1,2,260.304887987782,239.242829922653,242.937302497882,"perc_offset",2
"4","1qs0vvu9krr584a",2,2,260.268252415795,239.891527197788,243.57454898627,"perc_offset",2
"5","1qs0vvu9krr584a",1,3,257.589650567867,239.153368447717,242.737677267564,"perc_offset",3
"6","1qs0vvu9krr584a",2,3,284.543861625267,275.99401511167,272.031256654383,"value_alt_offset",3
"7","1tq0jt4dd31u8lq",1,1,251.075353596769,254.016837253992,247.473652959664,"value_alt_offset",1
"8","1tq0jt4dd31u8lq",2,1,247.317894249267,247.081168319392,243.777652760126,"value_alt_offset",1
"9","1tq0jt4dd31u8lq",1,2,249.088199385262,278.531948888481,245.499900853553,"value_alt_offset",2
"10","1tq0jt4dd31u8lq",2,2,253.622846596464,272.667835641193,250.750080056695,"value_alt_offset",2
"11","1tq0jt4dd31u8lq",1,3,265.04777541874,298.668498874585,262.221489162164,"value_alt_offset",3
"12","1tq0jt4dd31u8lq",2,3,261.956808709864,313.510302443268,258.525784398771,"value_alt_offset",3
"13","22260uys7arz8j6",1,1,250.61045010718,298.828960849326,247.528405849011,"value_alt_offset",1
"14","22260uys7arz8j6",2,1,247.569444332548,266.049642272431,244.067480464599,"value_alt_offset",1
"15","22260uys7arz8j6",1,2,249.680160119524,313.970364216865,246.095547682859,"value_alt_offset",2
"16","22260uys7arz8j6",2,2,251.873566805477,258.891236799374,250.937424798187,"value_alt_offset",2
"17","22260uys7arz8j6",1,3,252.050721480276,311.109733684517,249.490205830979,"value_alt_offset",3
"18","22260uys7arz8j6",2,3,251.307461436028,263.475308706159,248.411448182489,"value_alt_offset",3
"19","2bqu5ktkg43fh3p",1,1,250.037141283284,245.499328238943,246.908962589356,"perc_offset",1
"20","2bqu5ktkg43fh3p",2,1,254.948278582503,266.403246884276,252.269062605531,"value_alt_offset",1
"21","2bqu5ktkg43fh3p",1,2,257.636185286285,251.133101770751,253.989423718317,"perc_offset",2
"22","2bqu5ktkg43fh3p",2,2,295.299172867898,314.817601455347,292.762766342604,"value_alt_offset",2
"23","2bqu5ktkg43fh3p",1,3,308.388715698462,321.962765430073,311.441796227675,"full_offset",3
"24","2bqu5ktkg43fh3p",2,3,284.336697367629,310.105504723143,285.27391604421,"full_offset",3
"25","2mzs709cn5dlwj2",1,1,246.564295472207,254.239319286365,243.019424686315,"value_alt_offset",1
"26","2mzs709cn5dlwj2",2,1,246.464960005273,250.352491111582,242.923969174708,"value_alt_offset",1
"27","2mzs709cn5dlwj2",1,2,246.988365044118,245.624151981977,243.747605708091,"value_alt_offset",2
"28","2mzs709cn5dlwj2",2,2,246.532933489077,245.75981394224,243.174930648502,"value_alt_offset",2
"29","2mzs709cn5dlwj2",1,3,246.678097533551,240.741163991731,243.186166058161,"perc_offset",3
"30","2mzs709cn5dlwj2",2,3,246.640245145489,240.670289157808,243.223321615962,"perc_offset",3
"31","2nzfnkk2uulwmkz",1,1,268.65397476359,272.338192027925,264.192556606704,"value_alt_offset",1
"32","2nzfnkk2uulwmkz",2,1,264.546523481834,271.649438040988,261.384108057041,"value_alt_offset",1
"33","2nzfnkk2uulwmkz",1,2,263.114816989832,275.570211340267,261.514140711126,"value_alt_offset",2
"34","2nzfnkk2uulwmkz",2,2,262.881499321525,265.10528572146,259.101120870317,"value_alt_offset",2
"35","2nzfnkk2uulwmkz",1,3,255.921498597427,272.176380610576,253.908844592301,"value_alt_offset",3
"36","2nzfnkk2uulwmkz",2,3,272.064171800145,286.775984314735,270.764624616426,"value_alt_offset",3
"37","2qu63bjtm9kxnnb",1,1,286.894340996098,310.747648057923,285.514082026415,"value_alt_offset",1
"38","2qu63bjtm9kxnnb",2,1,276.962846866397,298.035393102151,277.095343945843,"full_offset",1
"39","2qu63bjtm9kxnnb",1,2,281.298962976262,303.703131232845,277.70898227521,"value_alt_offset",2
"40","2qu63bjtm9kxnnb",2,2,275.64131279844,297.01612274604,273.202051288524,"value_alt_offset",2
"41","2qu63bjtm9kxnnb",1,3,275.5871101229,289.770023741066,273.90502015938,"value_alt_offset",3
"42","2qu63bjtm9kxnnb",2,3,255.692431108175,276.250396758328,253.084160243032,"value_alt_offset",3
"43","2usnf1r3h88bett",1,1,251.030556950035,273.712363303563,248.249737259592,"value_alt_offset",1
"44","2usnf1r3h88bett",2,1,257.965417524653,275.81010890359,255.016068639607,"value_alt_offset",1
"45","2usnf1r3h88bett",1,2,254.086704135177,350.691551466831,250.995391566229,"value_alt_offset",2
"46","2usnf1r3h88bett",2,2,249.998638778555,254.970110621449,246.645524239029,"value_alt_offset",2
"47","2usnf1r3h88bett",1,3,247.948011946805,254.97265269471,244.41824127106,"value_alt_offset",3
"48","2usnf1r3h88bett",2,3,249.586300745133,256.035926575631,246.170981774342,"value_alt_offset",3
"49","34aswcgc3uv5ln0",1,1,251.881968488438,259.990200687791,248.479947594583,"value_alt_offset",1
"50","34aswcgc3uv5ln0",2,1,255.057479926744,289.601472999556,251.565454315652,"value_alt_offset",1
"51","34aswcgc3uv5ln0",1,2,264.89545151383,274.648275123227,262.352132312678,"value_alt_offset",2
"52","34aswcgc3uv5ln0",2,2,249.439434742993,267.896698748492,245.94463614551,"value_alt_offset",2
"53","34aswcgc3uv5ln0",1,3,264.275609939748,294.666661902669,263.250580215142,"value_alt_offset",3
"54","34aswcgc3uv5ln0",2,3,262.706439579166,283.507005094205,262.020382970926,"value_alt_offset",3
"55","35q8u5ekgfaq26g",1,1,282.244059209856,278.920547515028,282.0884715296,"perc_offset",1
"56","35q8u5ekgfaq26g",2,1,272.676235921614,270.964301339218,270.770302601045,"value_alt_offset",1
"57","35q8u5ekgfaq26g",1,2,270.348018311295,267.848500064478,268.402400399312,"perc_offset",2
"58","35q8u5ekgfaq26g",2,2,286.822597377932,281.84991499043,281.30725456189,"value_alt_offset",2
"59","35q8u5ekgfaq26g",1,3,276.786029784827,279.656329298097,274.724768332464,"value_alt_offset",3
"60","35q8u5ekgfaq26g",2,3,275.330082459708,288.693611578791,275.999486993134,"full_offset",3
"61","3jrram86yd3uhgb",1,1,247.834176244928,248.629556962952,244.350830982995,"value_alt_offset",1
"62","3jrram86yd3uhgb",2,1,248.13619573876,255.925246131429,244.656342144448,"value_alt_offset",1
"63","3jrram86yd3uhgb",1,2,260.060317844607,273.640487183813,259.220127668081,"value_alt_offset",2
"64","3jrram86yd3uhgb",2,2,250.661537058493,256.317746463651,247.629361161419,"value_alt_offset",2
"65","3jrram86yd3uhgb",1,3,254.081889765455,285.330648537294,250.881891926849,"value_alt_offset",3
"66","3jrram86yd3uhgb",2,3,260.754064159633,302.827311218195,258.349852125656,"value_alt_offset",3
"67","3t9q259awsqqnjn",1,1,246.793589471037,263.6194269679,243.21235520781,"value_alt_offset",1
"68","3t9q259awsqqnjn",2,1,247.392356342077,263.337012302889,243.914856948551,"value_alt_offset",1
"69","3t9q259awsqqnjn",1,2,249.330857229642,310.66875241886,245.862174085204,"value_alt_offset",2
"70","3t9q259awsqqnjn",2,2,246.995235778462,255.853332363708,243.531473826231,"value_alt_offset",2
"71","3t9q259awsqqnjn",1,3,248.330735520742,268.077683895014,244.874136935989,"value_alt_offset",3
"72","3t9q259awsqqnjn",2,3,247.682700317891,250.512066534152,244.108613479922,"value_alt_offset",3
"73","4g3g9s2nj7eh7g9",1,1,249.405986846198,253.15505558503,246.25118857858,"value_alt_offset",1
"74","4g3g9s2nj7eh7g9",2,1,247.137208011132,243.210845762641,243.644755573653,"perc_offset",1
"75","4g3g9s2nj7eh7g9",1,2,247.363642711621,252.230061260178,243.844724642497,"value_alt_offset",2
"76","4g3g9s2nj7eh7g9",2,2,250.934682117999,280.989326005559,248.81697755104,"value_alt_offset",2
"77","4g3g9s2nj7eh7g9",1,3,255.862053911091,281.421094589364,252.306400065286,"value_alt_offset",3
"78","4g3g9s2nj7eh7g9",2,3,253.924066023592,316.081914105308,251.285152279602,"value_alt_offset",3
"79","4ns4fa2xqw95lgx",1,1,247.083714504171,254.538474919667,243.593060874537,"value_alt_offset",1
"80","4ns4fa2xqw95lgx",2,1,246.416382011395,241.031129166257,242.83820095815,"perc_offset",1
"81","4ns4fa2xqw95lgx",1,2,246.759415314022,241.936964914939,243.238711027575,"perc_offset",2
"82","4ns4fa2xqw95lgx",2,2,247.056570884025,252.028677689994,243.47240114081,"value_alt_offset",2
"83","4ns4fa2xqw95lgx",1,3,246.570759086461,243.488839906508,242.985329402853,"value_alt_offset",3
"84","4ns4fa2xqw95lgx",2,3,246.787036900788,247.792103196072,243.224874716725,"value_alt_offset",3
"85","4tcxev3874jk89a",1,1,254.060349531887,264.716937499998,251.252774774337,"value_alt_offset",1
"86","4tcxev3874jk89a",2,1,258.482974660223,281.152416196419,256.46993684785,"value_alt_offset",1
"87","4tcxev3874jk89a",1,2,257.259789466955,302.920442340233,255.428718266837,"value_alt_offset",2
"88","4tcxev3874jk89a",2,2,266.066329581335,290.831029063961,266.877748375173,"full_offset",2
"89","4tcxev3874jk89a",1,3,270.467659507041,323.750928413375,267.141630767473,"value_alt_offset",3
"90","4tcxev3874jk89a",2,3,273.418548510709,273.259760198069,271.220976506251,"value_alt_offset",3
"91","57znvber9kc1tnj",1,1,262.585187311829,286.334929558736,265.187694422517,"full_offset",1
"92","57znvber9kc1tnj",2,1,268.417876026986,307.614586212833,271.641535368827,"full_offset",1
"93","57znvber9kc1tnj",1,2,261.000576743516,293.407323577968,259.856286052456,"value_alt_offset",2
"94","57znvber9kc1tnj",2,2,281.332496460626,306.33450523283,279.480226291015,"value_alt_offset",2
"95","57znvber9kc1tnj",1,3,270.277880780674,281.116575604265,279.565031630716,"full_offset",3
"96","57znvber9kc1tnj",2,3,293.470908460746,320.893867852692,302.822136262973,"full_offset",3
"97","5cp1qjka53bl73q",1,1,298.509587393039,276.586849550311,299.562752019977,"perc_offset",1
