"","sub","model","ou","pu","iter","rho","omega","lambda","offset","ll","AIC","AICc","BIC","k"
"1","9p57f5mpldrqae2","value_sig",3,1,1,NA,0.5,2.18106995884664,-0.0123456790123019,133.558593037332,275.117186074663,276.407508655308,281.451261828487,7.44444444444019
"2","9p57f5mpldrqae2","value_sig",3,1,2,NA,0.5,2.18106995884664,-0.0123456790123019,133.558593037332,275.117186074663,276.407508655308,281.451261828487,7.44444444444019
"3","9p57f5mpldrqae2","value_sig",3,1,3,NA,0.5,2.18106995884664,-0.0123456790123019,133.558593037332,275.117186074663,276.407508655308,281.451261828487,7.44444444444019
"4","9p57f5mpldrqae2","value_sig",3,1,4,NA,0.5,2.18106995884664,-0.0123456790123019,133.558593037332,275.117186074663,276.407508655308,281.451261828487,7.44444444444019
"5","9p57f5mpldrqae2","value_sig",3,1,5,NA,0.5,2.18106995884664,-0.0123456790123019,133.558593037332,275.117186074663,276.407508655308,281.451261828487,7.44444444444019
"6","9p57f5mpldrqae2","value_sig",3,1,6,NA,0.5,2.18106995884664,-0.0123456790123019,133.558593037332,275.117186074663,276.407508655308,281.451261828487,7.44444444444019
"7","9p57f5mpldrqae2","value_sig",3,1,7,NA,0.5,2.18106995884664,-0.0123456790123019,133.558593037332,275.117186074663,276.407508655308,281.451261828487,7.44444444444019
"8","9p57f5mpldrqae2","value_sig",3,1,8,NA,0.5,2.18106995884664,-0.0123456790123019,133.558593037332,275.117186074663,276.407508655308,281.451261828487,7.44444444444019
"9","9p57f5mpldrqae2","value_sig",3,1,9,NA,0.5,2.18106995884664,-0.0123456790123019,133.558593037332,275.117186074663,276.407508655308,281.451261828487,7.44444444444019
"10","9p57f5mpldrqae2","value_sig",3,1,10,NA,0.5,2.18106995884664,-0.0123456790123019,133.558593037332,275.117186074663,276.407508655308,281.451261828487,7.44444444444019
"11","9p57f5mpldrqae2","value_sig",3,1,11,NA,0.5,2.18106995884664,-0.0123456790123019,133.558593037332,275.117186074663,276.407508655308,281.451261828487,7.44444444444019
"12","9p57f5mpldrqae2","value_sig",3,1,12,NA,0.5,2.18106995884664,-0.0123456790123019,133.558593037332,275.117186074663,276.407508655308,281.451261828487,7.44444444444019
"13","9p57f5mpldrqae2","value_sig",3,1,13,NA,0.5,2.18106995884664,-0.0123456790123019,133.558593037332,275.117186074663,276.407508655308,281.451261828487,7.44444444444019
"14","9p57f5mpldrqae2","value_sig",3,1,14,NA,0.5,2.18106995884664,-0.0123456790123019,133.558593037332,275.117186074663,276.407508655308,281.451261828487,7.44444444444019
"15","9p57f5mpldrqae2","value_sig",3,1,15,NA,0.5,2.18106995884664,-0.0123456790123019,133.558593037332,275.117186074663,276.407508655308,281.451261828487,7.44444444444019
"16","9p57f5mpldrqae2","value_sig",3,1,16,NA,0.5,2.18106995884664,-0.0123456790123019,133.558593037332,275.117186074663,276.407508655308,281.451261828487,7.44444444444019
"17","9p57f5mpldrqae2","value_sig",3,1,17,NA,0.5,2.18106995884664,-0.0123456790123019,133.558593037332,275.117186074663,276.407508655308,281.451261828487,7.44444444444019
"18","9p57f5mpldrqae2","value_sig",3,1,18,NA,0.5,2.18106995884664,-0.0123456790123019,133.558593037332,275.117186074663,276.407508655308,281.451261828487,7.44444444444019
"19","9p57f5mpldrqae2","value_sig",3,1,19,NA,0.5,2.18106995884664,-0.0123456790123019,133.558593037332,275.117186074663,276.407508655308,281.451261828487,7.44444444444019
"20","9p57f5mpldrqae2","value_sig",3,1,20,NA,0.5,2.18106995884664,-0.0123456790123019,133.558593037332,275.117186074663,276.407508655308,281.451261828487,7.44444444444019
"21","9p57f5mpldrqae2","value_sig",3,1,21,NA,0.5,2.18106995884664,-0.0123456790123019,133.558593037332,275.117186074663,276.407508655308,281.451261828487,7.44444444444019
"22","9p57f5mpldrqae2","value_sig",3,1,22,NA,0.5,2.18106995884664,-0.0123456790123019,133.558593037332,275.117186074663,276.407508655308,281.451261828487,7.44444444444019
"23","9p57f5mpldrqae2","value_sig",3,1,23,NA,0.5,2.18106995884664,-0.0123456790123019,133.558593037332,275.117186074663,276.407508655308,281.451261828487,7.44444444444019
"24","9p57f5mpldrqae2","value_sig",3,1,24,NA,0.5,2.18106995884664,-0.0123456790123019,133.558593037332,275.117186074663,276.407508655308,281.451261828487,7.44444444444019
"25","9p57f5mpldrqae2","value_sig",3,1,25,NA,0.5,2.18106995884664,-0.0123456790123019,133.558593037332,275.117186074663,276.407508655308,281.451261828487,7.44444444444019
"26","9p57f5mpldrqae2","value_sig",3,1,26,NA,0.5,2.18106995884664,-0.0123456790123019,133.558593037332,275.117186074663,276.407508655308,281.451261828487,7.44444444444019
"27","9p57f5mpldrqae2","value_sig",3,1,27,NA,0.5,2.18106995884664,-0.0123456790123019,133.558593037332,275.117186074663,276.407508655308,281.451261828487,7.44444444444019
"28","9p57f5mpldrqae2","value_sig",3,1,28,NA,0.5,2.18106995884664,-0.0123456790123019,133.558593037332,275.117186074663,276.407508655308,281.451261828487,7.44444444444019
"29","9p57f5mpldrqae2","value_sig",3,1,29,NA,0.5,2.18106995884664,-0.0123456790123019,133.558593037332,275.117186074663,276.407508655308,281.451261828487,7.44444444444019
"30","9p57f5mpldrqae2","value_sig",3,1,30,NA,0.5,2.18106995884664,-0.0123456790123019,133.558593037332,275.117186074663,276.407508655308,281.451261828487,7.44444444444019
"31","9p57f5mpldrqae2","value_sig",1,2,1,NA,0.166666666666667,1.85439211500541,0.074429710907429,117.487045436859,242.974090873718,244.264413454363,249.308166627543,6.25102880658373
"32","9p57f5mpldrqae2","value_sig",1,2,2,NA,0.166666666666667,1.85439211500541,0.074429710907429,117.487045436859,242.974090873718,244.264413454363,249.308166627543,6.25102880658373
"33","9p57f5mpldrqae2","value_sig",1,2,3,NA,0.166666666666667,1.85439211500541,0.074429710907429,117.487045436859,242.974090873718,244.264413454363,249.308166627543,6.25102880658373
"34","9p57f5mpldrqae2","value_sig",1,2,4,NA,0.166666666666667,1.85439211500541,0.074429710907429,117.487045436859,242.974090873718,244.264413454363,249.308166627543,6.25102880658373
"35","9p57f5mpldrqae2","value_sig",1,2,5,NA,0.166666666666667,1.85439211500541,0.074429710907429,117.487045436859,242.974090873718,244.264413454363,249.308166627543,6.25102880658373
"36","9p57f5mpldrqae2","value_sig",1,2,6,NA,0.166666666666667,1.85439211500541,0.074429710907429,117.487045436859,242.974090873718,244.264413454363,249.308166627543,6.25102880658373
"37","9p57f5mpldrqae2","value_sig",1,2,7,NA,0.166666666666667,1.85439211500541,0.074429710907429,117.487045436859,242.974090873718,244.264413454363,249.308166627543,6.25102880658373
"38","9p57f5mpldrqae2","value_sig",1,2,8,NA,0.166666666666667,1.85439211500541,0.074429710907429,117.487045436859,242.974090873718,244.264413454363,249.308166627543,6.25102880658373
"39","9p57f5mpldrqae2","value_sig",1,2,9,NA,0.166666666666667,1.85439211500541,0.074429710907429,117.487045436859,242.974090873718,244.264413454363,249.308166627543,6.25102880658373
"40","9p57f5mpldrqae2","value_sig",1,2,10,NA,0.166666666666667,1.85439211500541,0.074429710907429,117.487045436859,242.974090873718,244.264413454363,249.308166627543,6.25102880658373
"41","9p57f5mpldrqae2","value_sig",1,2,11,NA,0.166666666666667,1.85439211500541,0.074429710907429,117.487045436859,242.974090873718,244.264413454363,249.308166627543,6.25102880658373
"42","9p57f5mpldrqae2","value_sig",1,2,12,NA,0.166666666666667,1.85439211500541,0.074429710907429,117.487045436859,242.974090873718,244.264413454363,249.308166627543,6.25102880658373
"43","9p57f5mpldrqae2","value_sig",1,2,13,NA,0.166666666666667,1.85439211500541,0.074429710907429,117.487045436859,242.974090873718,244.264413454363,249.308166627543,6.25102880658373
"44","9p57f5mpldrqae2","value_sig",1,2,14,NA,0.166666666666667,1.85439211500541,0.074429710907429,117.487045436859,242.974090873718,244.264413454363,249.308166627543,6.25102880658373
"45","9p57f5mpldrqae2","value_sig",1,2,15,NA,0.166666666666667,1.85439211500541,0.074429710907429,117.487045436859,242.974090873718,244.264413454363,249.308166627543,6.25102880658373
"46","9p57f5mpldrqae2","value_sig",1,2,16,NA,0.166666666666667,1.85439211500541,0.074429710907429,117.487045436859,242.974090873718,244.264413454363,249.308166627543,6.25102880658373
"47","9p57f5mpldrqae2","value_sig",1,2,17,NA,0.166666666666667,1.85439211500541,0.074429710907429,117.487045436859,242.974090873718,244.264413454363,249.308166627543,6.25102880658373
"48","9p57f5mpldrqae2","value_sig",1,2,18,NA,0.166666666666667,1.85439211500541,0.074429710907429,117.487045436859,242.974090873718,244.264413454363,249.308166627543,6.25102880658373
"49","9p57f5mpldrqae2","value_sig",1,2,19,NA,0.166666666666667,1.85439211500541,0.074429710907429,117.487045436859,242.974090873718,244.264413454363,249.308166627543,6.25102880658373
"50","9p57f5mpldrqae2","value_sig",1,2,20,NA,0.166666666666667,1.85439211500541,0.074429710907429,117.487045436859,242.974090873718,244.264413454363,249.308166627543,6.25102880658373
"51","9p57f5mpldrqae2","value_sig",1,2,21,NA,0.166666666666667,1.85439211500541,0.074429710907429,117.487045436859,242.974090873718,244.264413454363,249.308166627543,6.25102880658373
"52","9p57f5mpldrqae2","value_sig",1,2,22,NA,0.166666666666667,1.85439211500541,0.074429710907429,117.487045436859,242.974090873718,244.264413454363,249.308166627543,6.25102880658373
"53","9p57f5mpldrqae2","value_sig",1,2,23,NA,0.166666666666667,1.85439211500541,0.074429710907429,117.487045436859,242.974090873718,244.264413454363,249.308166627543,6.25102880658373
"54","9p57f5mpldrqae2","value_sig",1,2,24,NA,0.166666666666667,1.85439211500541,0.074429710907429,117.487045436859,242.974090873718,244.264413454363,249.308166627543,6.25102880658373
"55","9p57f5mpldrqae2","value_sig",1,2,25,NA,0.166666666666667,1.85439211500541,0.074429710907429,117.487045436859,242.974090873718,244.264413454363,249.308166627543,6.25102880658373
"56","9p57f5mpldrqae2","value_sig",1,2,26,NA,0.166666666666667,1.85439211500541,0.074429710907429,117.487045436859,242.974090873718,244.264413454363,249.308166627543,6.25102880658373
"57","9p57f5mpldrqae2","value_sig",1,2,27,NA,0.166666666666667,1.85439211500541,0.074429710907429,117.487045436859,242.974090873718,244.264413454363,249.308166627543,6.25102880658373
"58","9p57f5mpldrqae2","value_sig",1,2,28,NA,0.166666666666667,1.85439211500541,0.074429710907429,117.487045436859,242.974090873718,244.264413454363,249.308166627543,6.25102880658373
"59","9p57f5mpldrqae2","value_sig",1,2,29,NA,0.166666666666667,1.85439211500541,0.074429710907429,117.487045436859,242.974090873718,244.264413454363,249.308166627543,6.25102880658373
"60","9p57f5mpldrqae2","value_sig",1,2,30,NA,0.166666666666667,1.85439211500541,0.074429710907429,117.487045436859,242.974090873718,244.264413454363,249.308166627543,6.25102880658373
"61","9p57f5mpldrqae2","value_sig",2,2,1,NA,0.166666666666667,3.08641975308645,-0.00685871056240916,117.840917239717,243.681834479434,244.972157060079,250.015910233259,6.84773662551448
"62","9p57f5mpldrqae2","value_sig",2,2,2,NA,0.166666666666667,3.08641975308645,-0.00685871056240916,117.840917239717,243.681834479434,244.972157060079,250.015910233259,6.84773662551448
"63","9p57f5mpldrqae2","value_sig",2,2,3,NA,0.166666666666667,3.08641975308645,-0.00685871056240916,117.840917239717,243.681834479434,244.972157060079,250.015910233259,6.84773662551448
"64","9p57f5mpldrqae2","value_sig",2,2,4,NA,0.166666666666667,3.08641975308645,-0.00685871056240916,117.840917239717,243.681834479434,244.972157060079,250.015910233259,6.84773662551448
"65","9p57f5mpldrqae2","value_sig",2,2,5,NA,0.166666666666667,3.08641975308645,-0.00685871056240916,117.840917239717,243.681834479434,244.972157060079,250.015910233259,6.84773662551448
"66","9p57f5mpldrqae2","value_sig",2,2,6,NA,0.166666666666667,3.08641975308645,-0.00685871056240916,117.840917239717,243.681834479434,244.972157060079,250.015910233259,6.84773662551448
"67","9p57f5mpldrqae2","value_sig",2,2,7,NA,0.166666666666667,3.08641975308645,-0.00685871056240916,117.840917239717,243.681834479434,244.972157060079,250.015910233259,6.84773662551448
"68","9p57f5mpldrqae2","value_sig",2,2,8,NA,0.166666666666667,3.08641975308645,-0.00685871056240916,117.840917239717,243.681834479434,244.972157060079,250.015910233259,6.84773662551448
"69","9p57f5mpldrqae2","value_sig",2,2,9,NA,0.166666666666667,3.08641975308645,-0.00685871056240916,117.840917239717,243.681834479434,244.972157060079,250.015910233259,6.84773662551448
"70","9p57f5mpldrqae2","value_sig",2,2,10,NA,0.166666666666667,3.08641975308645,-0.00685871056240916,117.840917239717,243.681834479434,244.972157060079,250.015910233259,6.84773662551448
"71","9p57f5mpldrqae2","value_sig",2,2,11,NA,0.166666666666667,3.08641975308645,-0.00685871056240916,117.840917239717,243.681834479434,244.972157060079,250.015910233259,6.84773662551448
"72","9p57f5mpldrqae2","value_sig",2,2,12,NA,0.166666666666667,3.08641975308645,-0.00685871056240916,117.840917239717,243.681834479434,244.972157060079,250.015910233259,6.84773662551448
"73","9p57f5mpldrqae2","value_sig",2,2,13,NA,0.166666666666667,3.08641975308645,-0.00685871056240916,117.840917239717,243.681834479434,244.972157060079,250.015910233259,6.84773662551448
"74","9p57f5mpldrqae2","value_sig",2,2,14,NA,0.166666666666667,3.08641975308645,-0.00685871056240916,117.840917239717,243.681834479434,244.972157060079,250.015910233259,6.84773662551448
"75","9p57f5mpldrqae2","value_sig",2,2,15,NA,0.166666666666667,3.08641975308645,-0.00685871056240916,117.840917239717,243.681834479434,244.972157060079,250.015910233259,6.84773662551448
"76","9p57f5mpldrqae2","value_sig",2,2,16,NA,0.166666666666667,3.08641975308645,-0.00685871056240916,117.840917239717,243.681834479434,244.972157060079,250.015910233259,6.84773662551448
"77","9p57f5mpldrqae2","value_sig",2,2,17,NA,0.166666666666667,3.08641975308645,-0.00685871056240916,117.840917239717,243.681834479434,244.972157060079,250.015910233259,6.84773662551448
"78","9p57f5mpldrqae2","value_sig",2,2,18,NA,0.166666666666667,3.08641975308645,-0.00685871056240916,117.840917239717,243.681834479434,244.972157060079,250.015910233259,6.84773662551448
"79","9p57f5mpldrqae2","value_sig",2,2,19,NA,0.166666666666667,3.08641975308645,-0.00685871056240916,117.840917239717,243.681834479434,244.972157060079,250.015910233259,6.84773662551448
"80","9p57f5mpldrqae2","value_sig",2,2,20,NA,0.166666666666667,3.08641975308645,-0.00685871056240916,117.840917239717,243.681834479434,244.972157060079,250.015910233259,6.84773662551448
