"","sub","model","ou","pu","iter","rho","omega","lambda","offset","ll","AIC","AICc","BIC","k"
"1","h9du65sl07e0gv9","value_sig",2,2,1,NA,0.5,3.04526748970997,-0.299700248935946,151.536493828792,311.072987657583,312.363310238229,317.407063411408,6.37266225002338
"2","h9du65sl07e0gv9","value_sig",2,2,2,NA,0.5,3.04526748970997,-0.299700248935946,151.536493828792,311.072987657583,312.363310238229,317.407063411408,6.37266225002338
"3","h9du65sl07e0gv9","value_sig",2,2,3,NA,0.5,3.04526748970997,-0.299700248935946,151.536493828792,311.072987657583,312.363310238229,317.407063411408,6.37266225002338
"4","h9du65sl07e0gv9","value_sig",2,2,4,NA,0.5,3.04526748970997,-0.299700248935946,151.536493828792,311.072987657583,312.363310238229,317.407063411408,6.37266225002338
"5","h9du65sl07e0gv9","value_sig",2,2,5,NA,0.5,3.04526748970997,-0.299700248935946,151.536493828792,311.072987657583,312.363310238229,317.407063411408,6.37266225002338
"6","h9du65sl07e0gv9","value_sig",2,2,6,NA,0.5,3.04526748970997,-0.299700248935946,151.536493828792,311.072987657583,312.363310238229,317.407063411408,6.37266225002338
"7","h9du65sl07e0gv9","value_sig",2,2,7,NA,0.5,3.04526748970997,-0.299700248935946,151.536493828792,311.072987657583,312.363310238229,317.407063411408,6.37266225002338
"8","h9du65sl07e0gv9","value_sig",2,2,8,NA,0.5,3.04526748970997,-0.299700248935946,151.536493828792,311.072987657583,312.363310238229,317.407063411408,6.37266225002338
"9","h9du65sl07e0gv9","value_sig",2,2,9,NA,0.5,3.04526748970997,-0.299700248935946,151.536493828792,311.072987657583,312.363310238229,317.407063411408,6.37266225002338
"10","h9du65sl07e0gv9","value_sig",2,2,10,NA,0.5,3.04526748970997,-0.299700248935946,151.536493828792,311.072987657583,312.363310238229,317.407063411408,6.37266225002338
"11","h9du65sl07e0gv9","value_sig",2,2,11,NA,0.5,3.04526748970997,-0.299700248935946,151.536493828792,311.072987657583,312.363310238229,317.407063411408,6.37266225002338
"12","h9du65sl07e0gv9","value_sig",2,2,12,NA,0.5,3.04526748970997,-0.299700248935946,151.536493828792,311.072987657583,312.363310238229,317.407063411408,6.37266225002338
"13","h9du65sl07e0gv9","value_sig",2,2,13,NA,0.5,3.04526748970997,-0.299700248935946,151.536493828792,311.072987657583,312.363310238229,317.407063411408,6.37266225002338
"14","h9du65sl07e0gv9","value_sig",2,2,14,NA,0.5,3.04526748970997,-0.299700248935946,151.536493828792,311.072987657583,312.363310238229,317.407063411408,6.37266225002338
"15","h9du65sl07e0gv9","value_sig",2,2,15,NA,0.5,3.04526748970997,-0.299700248935946,151.536493828792,311.072987657583,312.363310238229,317.407063411408,6.37266225002338
"16","h9du65sl07e0gv9","value_sig",2,2,16,NA,0.5,3.04526748970997,-0.299700248935946,151.536493828792,311.072987657583,312.363310238229,317.407063411408,6.37266225002338
"17","h9du65sl07e0gv9","value_sig",2,2,17,NA,0.5,3.04526748970997,-0.299700248935946,151.536493828792,311.072987657583,312.363310238229,317.407063411408,6.37266225002338
