"","sub","model","ou","pu","iter","rho","omega","lambda","offset","ll","AIC","AICc","BIC","k"
"1","hmfoy1dyl3p0oyx","value_sig",3,1,1,NA,0.166666666666667,1.65980795610426,0.182441700960206,116.805048942624,241.610097885247,242.900420465892,247.944173639072,8.51851851851577
"2","hmfoy1dyl3p0oyx","value_sig",3,1,2,NA,0.166666666666667,1.65980795610426,0.182441700960206,116.805048942624,241.610097885247,242.900420465892,247.944173639072,8.51851851851577
"3","hmfoy1dyl3p0oyx","value_sig",3,1,3,NA,0.166666666666667,1.65980795610426,0.182441700960206,116.805048942624,241.610097885247,242.900420465892,247.944173639072,8.51851851851577
"4","hmfoy1dyl3p0oyx","value_sig",3,1,4,NA,0.166666666666667,1.65980795610426,0.182441700960206,116.805048942624,241.610097885247,242.900420465892,247.944173639072,8.51851851851577
"5","hmfoy1dyl3p0oyx","value_sig",3,1,5,NA,0.166666666666667,1.65980795610426,0.182441700960206,116.805048942624,241.610097885247,242.900420465892,247.944173639072,8.51851851851577
"6","hmfoy1dyl3p0oyx","value_sig",3,1,6,NA,0.166666666666667,1.65980795610426,0.182441700960206,116.805048942624,241.610097885247,242.900420465892,247.944173639072,8.51851851851577
"7","hmfoy1dyl3p0oyx","value_sig",3,1,7,NA,0.166666666666667,1.65980795610426,0.182441700960206,116.805048942624,241.610097885247,242.900420465892,247.944173639072,8.51851851851577
"8","hmfoy1dyl3p0oyx","value_sig",3,1,8,NA,0.166666666666667,1.65980795610426,0.182441700960206,116.805048942624,241.610097885247,242.900420465892,247.944173639072,8.51851851851577
"9","hmfoy1dyl3p0oyx","value_sig",3,1,9,NA,0.166666666666667,1.65980795610426,0.182441700960206,116.805048942624,241.610097885247,242.900420465892,247.944173639072,8.51851851851577
"10","hmfoy1dyl3p0oyx","value_sig",3,1,10,NA,0.166666666666667,1.65980795610426,0.182441700960206,116.805048942624,241.610097885247,242.900420465892,247.944173639072,8.51851851851577
"11","hmfoy1dyl3p0oyx","value_sig",3,1,11,NA,0.166666666666667,1.65980795610426,0.182441700960206,116.805048942624,241.610097885247,242.900420465892,247.944173639072,8.51851851851577
"12","hmfoy1dyl3p0oyx","value_sig",3,1,12,NA,0.166666666666667,1.65980795610426,0.182441700960206,116.805048942624,241.610097885247,242.900420465892,247.944173639072,8.51851851851577
"13","hmfoy1dyl3p0oyx","value_sig",3,1,13,NA,0.166666666666667,1.65980795610426,0.182441700960206,116.805048942624,241.610097885247,242.900420465892,247.944173639072,8.51851851851577
"14","hmfoy1dyl3p0oyx","value_sig",3,1,14,NA,0.166666666666667,1.65980795610426,0.182441700960206,116.805048942624,241.610097885247,242.900420465892,247.944173639072,8.51851851851577
"15","hmfoy1dyl3p0oyx","value_sig",3,1,15,NA,0.166666666666667,1.65980795610426,0.182441700960206,116.805048942624,241.610097885247,242.900420465892,247.944173639072,8.51851851851577
"16","hmfoy1dyl3p0oyx","value_sig",3,1,16,NA,0.166666666666667,1.65980795610426,0.182441700960206,116.805048942624,241.610097885247,242.900420465892,247.944173639072,8.51851851851577
"17","hmfoy1dyl3p0oyx","value_sig",3,1,17,NA,0.166666666666667,1.65980795610426,0.182441700960206,116.805048942624,241.610097885247,242.900420465892,247.944173639072,8.51851851851577
"18","hmfoy1dyl3p0oyx","value_sig",3,1,18,NA,0.166666666666667,1.65980795610426,0.182441700960206,116.805048942624,241.610097885247,242.900420465892,247.944173639072,8.51851851851577
"19","hmfoy1dyl3p0oyx","value_sig",3,1,19,NA,0.166666666666667,1.65980795610426,0.182441700960206,116.805048942624,241.610097885247,242.900420465892,247.944173639072,8.51851851851577
"20","hmfoy1dyl3p0oyx","value_sig",3,1,20,NA,0.166666666666667,1.65980795610426,0.182441700960206,116.805048942624,241.610097885247,242.900420465892,247.944173639072,8.51851851851577
"21","hmfoy1dyl3p0oyx","value_sig",3,1,21,NA,0.166666666666667,1.65980795610426,0.182441700960206,116.805048942624,241.610097885247,242.900420465892,247.944173639072,8.51851851851577
"22","hmfoy1dyl3p0oyx","value_sig",3,1,22,NA,0.166666666666667,1.65980795610426,0.182441700960206,116.805048942624,241.610097885247,242.900420465892,247.944173639072,8.51851851851577
"23","hmfoy1dyl3p0oyx","value_sig",3,1,23,NA,0.166666666666667,1.65980795610426,0.182441700960206,116.805048942624,241.610097885247,242.900420465892,247.944173639072,8.51851851851577
"24","hmfoy1dyl3p0oyx","value_sig",3,1,24,NA,0.166666666666667,1.65980795610426,0.182441700960206,116.805048942624,241.610097885247,242.900420465892,247.944173639072,8.51851851851577
"25","hmfoy1dyl3p0oyx","value_sig",3,1,25,NA,0.166666666666667,1.65980795610426,0.182441700960206,116.805048942624,241.610097885247,242.900420465892,247.944173639072,8.51851851851577
"26","hmfoy1dyl3p0oyx","value_sig",3,1,26,NA,0.166666666666667,1.65980795610426,0.182441700960206,116.805048942624,241.610097885247,242.900420465892,247.944173639072,8.51851851851577
"27","hmfoy1dyl3p0oyx","value_sig",3,1,27,NA,0.166666666666667,1.65980795610426,0.182441700960206,116.805048942624,241.610097885247,242.900420465892,247.944173639072,8.51851851851577
"28","hmfoy1dyl3p0oyx","value_sig",3,1,28,NA,0.166666666666667,1.65980795610426,0.182441700960206,116.805048942624,241.610097885247,242.900420465892,247.944173639072,8.51851851851577
"29","hmfoy1dyl3p0oyx","value_sig",3,1,29,NA,0.166666666666667,1.65980795610426,0.182441700960206,116.805048942624,241.610097885247,242.900420465892,247.944173639072,8.51851851851577
