"","sub","model","ou","pu","iter","rho","omega","lambda","offset","ll","AIC","AICc","BIC","k"
"1","np2r7s44c0nxgg5","value_sig",2,2,1,NA,0.5,5.85733882030375,0.000110256950967447,117.614273817136,243.228547634271,244.518870214917,249.562623388096,5.98140527360346
"2","np2r7s44c0nxgg5","value_sig",2,2,2,NA,0.5,5.85733882030375,0.000110256950967447,117.614273817136,243.228547634271,244.518870214917,249.562623388096,5.98140527360346
"3","np2r7s44c0nxgg5","value_sig",2,2,3,NA,0.5,5.85733882030375,0.000110256950967447,117.614273817136,243.228547634271,244.518870214917,249.562623388096,5.98140527360346
"4","np2r7s44c0nxgg5","value_sig",2,2,4,NA,0.5,5.85733882030375,0.000110256950967447,117.614273817136,243.228547634271,244.518870214917,249.562623388096,5.98140527360346
"5","np2r7s44c0nxgg5","value_sig",2,2,5,NA,0.5,5.85733882030375,0.000110256950967447,117.614273817136,243.228547634271,244.518870214917,249.562623388096,5.98140527360346
"6","np2r7s44c0nxgg5","value_sig",2,2,6,NA,0.5,5.85733882030375,0.000110256950967447,117.614273817136,243.228547634271,244.518870214917,249.562623388096,5.98140527360346
"7","np2r7s44c0nxgg5","value_sig",2,2,7,NA,0.5,5.85733882030375,0.000110256950967447,117.614273817136,243.228547634271,244.518870214917,249.562623388096,5.98140527360346
"8","np2r7s44c0nxgg5","value_sig",2,2,8,NA,0.5,5.85733882030375,0.000110256950967447,117.614273817136,243.228547634271,244.518870214917,249.562623388096,5.98140527360346
"9","np2r7s44c0nxgg5","value_sig",2,2,9,NA,0.5,5.85733882030375,0.000110256950967447,117.614273817136,243.228547634271,244.518870214917,249.562623388096,5.98140527360346
"10","np2r7s44c0nxgg5","value_sig",2,2,10,NA,0.5,5.85733882030375,0.000110256950967447,117.614273817136,243.228547634271,244.518870214917,249.562623388096,5.98140527360346
"11","np2r7s44c0nxgg5","value_sig",2,2,11,NA,0.5,5.85733882030375,0.000110256950967447,117.614273817136,243.228547634271,244.518870214917,249.562623388096,5.98140527360346
"12","np2r7s44c0nxgg5","value_sig",2,2,12,NA,0.5,5.85733882030375,0.000110256950967447,117.614273817136,243.228547634271,244.518870214917,249.562623388096,5.98140527360346
"13","np2r7s44c0nxgg5","value_sig",2,2,13,NA,0.5,5.85733882030375,0.000110256950967447,117.614273817136,243.228547634271,244.518870214917,249.562623388096,5.98140527360346
"14","np2r7s44c0nxgg5","value_sig",2,2,14,NA,0.5,5.85733882030375,0.000110256950967447,117.614273817136,243.228547634271,244.518870214917,249.562623388096,5.98140527360346
"15","np2r7s44c0nxgg5","value_sig",2,2,15,NA,0.5,5.85733882030375,0.000110256950967447,117.614273817136,243.228547634271,244.518870214917,249.562623388096,5.98140527360346
