"","sub","model","ou","pu","iter","rho","omega","lambda","offset","ll","AIC","AICc","BIC","k"
"1","x6cu75oy88jq32r","value_sig",1,1,1,NA,0.166666666666667,3.01326017375334,-0.0745313214447705,118.705977894754,245.411955789508,246.702278370153,251.746031543333,8.58481938728282
"2","x6cu75oy88jq32r","value_sig",1,1,2,NA,0.166666666666667,3.01326017375334,-0.0745313214447705,118.705977894754,245.411955789508,246.702278370153,251.746031543333,8.58481938728282
"3","x6cu75oy88jq32r","value_sig",1,1,3,NA,0.166666666666667,3.01326017375334,-0.0745313214447705,118.705977894754,245.411955789508,246.702278370153,251.746031543333,8.58481938728282
"4","x6cu75oy88jq32r","value_sig",1,1,4,NA,0.166666666666667,3.01326017375334,-0.0745313214447705,118.705977894754,245.411955789508,246.702278370153,251.746031543333,8.58481938728282
"5","x6cu75oy88jq32r","value_sig",1,1,5,NA,0.166666666666667,3.01326017375334,-0.0745313214447705,118.705977894754,245.411955789508,246.702278370153,251.746031543333,8.58481938728282
"6","x6cu75oy88jq32r","value_sig",1,1,6,NA,0.166666666666667,3.01326017375334,-0.0745313214447705,118.705977894754,245.411955789508,246.702278370153,251.746031543333,8.58481938728282
"7","x6cu75oy88jq32r","value_sig",1,1,7,NA,0.166666666666667,3.01326017375334,-0.0745313214447705,118.705977894754,245.411955789508,246.702278370153,251.746031543333,8.58481938728282
"8","x6cu75oy88jq32r","value_sig",1,1,8,NA,0.166666666666667,3.01326017375334,-0.0745313214447705,118.705977894754,245.411955789508,246.702278370153,251.746031543333,8.58481938728282
"9","x6cu75oy88jq32r","value_sig",1,1,9,NA,0.166666666666667,3.01326017375334,-0.0745313214447705,118.705977894754,245.411955789508,246.702278370153,251.746031543333,8.58481938728282
"10","x6cu75oy88jq32r","value_sig",1,1,10,NA,0.166666666666667,3.01326017375334,-0.0745313214447705,118.705977894754,245.411955789508,246.702278370153,251.746031543333,8.58481938728282
"11","x6cu75oy88jq32r","value_sig",1,1,11,NA,0.166666666666667,3.01326017375334,-0.0745313214447705,118.705977894754,245.411955789508,246.702278370153,251.746031543333,8.58481938728282
"12","x6cu75oy88jq32r","value_sig",1,1,12,NA,0.166666666666667,3.01326017375334,-0.0745313214447705,118.705977894754,245.411955789508,246.702278370153,251.746031543333,8.58481938728282
"13","x6cu75oy88jq32r","value_sig",1,1,13,NA,0.166666666666667,3.01326017375334,-0.0745313214447705,118.705977894754,245.411955789508,246.702278370153,251.746031543333,8.58481938728282
"14","x6cu75oy88jq32r","value_sig",1,1,14,NA,0.166666666666667,3.01326017375334,-0.0745313214447705,118.705977894754,245.411955789508,246.702278370153,251.746031543333,8.58481938728282
"15","x6cu75oy88jq32r","value_sig",1,1,15,NA,0.166666666666667,3.01326017375334,-0.0745313214447705,118.705977894754,245.411955789508,246.702278370153,251.746031543333,8.58481938728282
"16","x6cu75oy88jq32r","value_sig",1,1,16,NA,0.166666666666667,3.01326017375334,-0.0745313214447705,118.705977894754,245.411955789508,246.702278370153,251.746031543333,8.58481938728282
"17","x6cu75oy88jq32r","value_sig",1,1,17,NA,0.166666666666667,3.01326017375334,-0.0745313214447705,118.705977894754,245.411955789508,246.702278370153,251.746031543333,8.58481938728282
"18","x6cu75oy88jq32r","value_sig",1,1,18,NA,0.166666666666667,3.01326017375334,-0.0745313214447705,118.705977894754,245.411955789508,246.702278370153,251.746031543333,8.58481938728282
"19","x6cu75oy88jq32r","value_sig",1,1,19,NA,0.166666666666667,3.01326017375334,-0.0745313214447705,118.705977894754,245.411955789508,246.702278370153,251.746031543333,8.58481938728282
"20","x6cu75oy88jq32r","value_sig",1,1,20,NA,0.166666666666667,3.01326017375334,-0.0745313214447705,118.705977894754,245.411955789508,246.702278370153,251.746031543333,8.58481938728282
"21","x6cu75oy88jq32r","value_sig",1,1,21,NA,0.166666666666667,3.01326017375334,-0.0745313214447705,118.705977894754,245.411955789508,246.702278370153,251.746031543333,8.58481938728282
"22","x6cu75oy88jq32r","value_sig",1,1,22,NA,0.166666666666667,3.01326017375334,-0.0745313214447705,118.705977894754,245.411955789508,246.702278370153,251.746031543333,8.58481938728282
"23","x6cu75oy88jq32r","value_sig",1,1,23,NA,0.166666666666667,3.01326017375334,-0.0745313214447705,118.705977894754,245.411955789508,246.702278370153,251.746031543333,8.58481938728282
"24","x6cu75oy88jq32r","value_sig",1,1,24,NA,0.166666666666667,3.01326017375334,-0.0745313214447705,118.705977894754,245.411955789508,246.702278370153,251.746031543333,8.58481938728282
"25","x6cu75oy88jq32r","value_sig",1,1,25,NA,0.166666666666667,3.01326017375334,-0.0745313214447705,118.705977894754,245.411955789508,246.702278370153,251.746031543333,8.58481938728282
"26","x6cu75oy88jq32r","value_sig",1,1,26,NA,0.166666666666667,3.01326017375334,-0.0745313214447705,118.705977894754,245.411955789508,246.702278370153,251.746031543333,8.58481938728282
"27","x6cu75oy88jq32r","value_sig",1,1,27,NA,0.166666666666667,3.01326017375334,-0.0745313214447705,118.705977894754,245.411955789508,246.702278370153,251.746031543333,8.58481938728282
"28","x6cu75oy88jq32r","value_sig",1,1,28,NA,0.166666666666667,3.01326017375334,-0.0745313214447705,118.705977894754,245.411955789508,246.702278370153,251.746031543333,8.58481938728282
"29","x6cu75oy88jq32r","value_sig",1,1,29,NA,0.166666666666667,3.01326017375334,-0.0745313214447705,118.705977894754,245.411955789508,246.702278370153,251.746031543333,8.58481938728282
"30","x6cu75oy88jq32r","value_sig",1,1,30,NA,0.166666666666667,3.01326017375334,-0.0745313214447705,118.705977894754,245.411955789508,246.702278370153,251.746031543333,8.58481938728282
"31","x6cu75oy88jq32r","value_sig",2,2,1,NA,0.166666666666667,2.30452674897112,0.0710426933780022,119.166125404305,246.33225080861,247.622573389255,252.666326562434,5.81344307270184
"32","x6cu75oy88jq32r","value_sig",2,2,2,NA,0.166666666666667,2.30452674897112,0.0710426933780022,119.166125404305,246.33225080861,247.622573389255,252.666326562434,5.81344307270184
"33","x6cu75oy88jq32r","value_sig",2,2,3,NA,0.166666666666667,2.30452674897112,0.0710426933780022,119.166125404305,246.33225080861,247.622573389255,252.666326562434,5.81344307270184
"34","x6cu75oy88jq32r","value_sig",2,2,4,NA,0.166666666666667,2.30452674897112,0.0710426933780022,119.166125404305,246.33225080861,247.622573389255,252.666326562434,5.81344307270184
"35","x6cu75oy88jq32r","value_sig",2,2,5,NA,0.166666666666667,2.30452674897112,0.0710426933780022,119.166125404305,246.33225080861,247.622573389255,252.666326562434,5.81344307270184
"36","x6cu75oy88jq32r","value_sig",2,2,6,NA,0.166666666666667,2.30452674897112,0.0710426933780022,119.166125404305,246.33225080861,247.622573389255,252.666326562434,5.81344307270184
"37","x6cu75oy88jq32r","value_sig",2,2,7,NA,0.166666666666667,2.30452674897112,0.0710426933780022,119.166125404305,246.33225080861,247.622573389255,252.666326562434,5.81344307270184
"38","x6cu75oy88jq32r","value_sig",2,2,8,NA,0.166666666666667,2.30452674897112,0.0710426933780022,119.166125404305,246.33225080861,247.622573389255,252.666326562434,5.81344307270184
"39","x6cu75oy88jq32r","value_sig",2,2,9,NA,0.166666666666667,2.30452674897112,0.0710426933780022,119.166125404305,246.33225080861,247.622573389255,252.666326562434,5.81344307270184
"40","x6cu75oy88jq32r","value_sig",2,2,10,NA,0.166666666666667,2.30452674897112,0.0710426933780022,119.166125404305,246.33225080861,247.622573389255,252.666326562434,5.81344307270184
