"","sub","model","rr","pu","rho","omega","lambda","offset","bestfit"
"1","1qs0vvu9krr584a","full_offset",1,1,0.0679012345679013,0.722222222222222,0.560128029263832,0.0329218106995885,"perc_offset"
"2","1qs0vvu9krr584a","full_offset",1,2,0.0185185185185283,0.5,0.555573434492941,-0.333333333333334,"perc_offset"
"3","1qs0vvu9krr584a","full_offset",2,1,0.0555888214496057,0.524843959659538,0.555609940554347,-0.333333333333334,"perc_offset"
"4","1qs0vvu9krr584a","full_offset",2,2,0.0180612712431151,0.611111111111111,0.555329780196379,-0.333333333333334,"perc_offset"
"5","1qs0vvu9krr584a","full_offset",3,1,0.0185184952879454,0.944444444444444,0.550989586403432,-0.333333333333334,"perc_offset"
"6","1qs0vvu9krr584a","full_offset",3,2,0.0569272976680384,0.90877914951989,0.912208504802409,-0.37037037037037,"value_alt_offset"
"7","1tq0jt4dd31u8lq","full_offset",1,1,0.0267489711934157,0.790809327846365,1.66666666666667,0.0164609053497944,"value_alt_offset"
"8","1tq0jt4dd31u8lq","full_offset",1,2,0.0432098765432099,0.931641518061271,1.50205761316872,0.0246913580246915,"value_alt_offset"
"9","1tq0jt4dd31u8lq","full_offset",2,1,0.00205761316872431,0.903292181069959,1.37860082304527,0,"value_alt_offset"
"10","1tq0jt4dd31u8lq","full_offset",2,2,0.0555555555555556,0.574074074074074,1.66666666666667,0,"value_alt_offset"
"11","1tq0jt4dd31u8lq","full_offset",3,1,0.055555555555541,0.569958847736626,1.66666666666667,0,"value_alt_offset"
"12","1tq0jt4dd31u8lq","full_offset",3,2,0.0349794238683128,0.796296296296296,1.65294924554184,0.0164609053497944,"value_alt_offset"
"13","22260uys7arz8j6","full_offset",1,1,0.141975308641975,0.265432098765432,1.2962962962963,0.0987654320987654,"value_alt_offset"
"14","22260uys7arz8j6","full_offset",1,2,0.0308641975308642,0.294238683127572,2.28395061728395,0.0246913580246915,"value_alt_offset"
"15","22260uys7arz8j6","full_offset",2,1,0.0198902606310014,0.183127572016461,1.54320987654321,-0.0109739368998628,"value_alt_offset"
"16","22260uys7arz8j6","full_offset",2,2,0.179012345679017,0.207818930041152,3.93003488000863,-0.0740740740740741,"value_alt_offset"
"17","22260uys7arz8j6","full_offset",3,1,0.051440329218107,0.273662551440329,2.25651577503429,-0.0246913580246914,"value_alt_offset"
"18","22260uys7arz8j6","full_offset",3,2,0.0185185185185185,0.327160493827161,4.38271604938272,-0.0493827160493827,"value_alt_offset"
"19","2bqu5ktkg43fh3p","full_offset",1,1,0.0802469135802469,0.635802476879341,0.925925925925926,0,"perc_offset"
"20","2bqu5ktkg43fh3p","full_offset",1,2,0.0925925925925926,0.598765432098765,1.66666666666667,0,"value_alt_offset"
"21","2bqu5ktkg43fh3p","full_offset",2,1,0.0555555555555556,0.616750495351318,0.679012345679013,0,"perc_offset"
"22","2bqu5ktkg43fh3p","full_offset",2,2,0.833333333333333,0.265432098765432,3.88888888888889,-0.518416954452814,"value_alt_offset"
"23","2bqu5ktkg43fh3p","full_offset",3,1,0.5,0.154320987654321,3.88888888888889,-0.641975308641975,"value_alt_offset"
"24","2bqu5ktkg43fh3p","full_offset",3,2,0.0925925925925926,0.648148148148148,1.66666666666667,-0.0740740740740741,"value_alt_offset"
"25","2mzs709cn5dlwj2","full_offset",1,1,0.944444444444444,0.240740740740741,9.32098765527698,0,"value_alt_offset"
"26","2mzs709cn5dlwj2","full_offset",1,2,0.81276284667536,0.195456315940998,9.77366255144033,0.00823045267489708,"value_alt_offset"
"27","2mzs709cn5dlwj2","full_offset",2,1,0.240740739880349,0.501524157902759,9.93827160493827,0.0219491282506745,"value_alt_offset"
"28","2mzs709cn5dlwj2","full_offset",2,2,0.98148147373835,0.87037037037037,9.81481481481481,1.91198168408846e-10,"value_alt_offset"
"29","2mzs709cn5dlwj2","full_offset",3,1,0.58641975308642,0.800411522633745,9.93827160493827,0,"perc_offset"
"30","2mzs709cn5dlwj2","full_offset",3,2,0.923868312757202,0.87037037037037,9.81481481481481,0.0164609053497944,"perc_offset"
"31","2nzfnkk2uulwmkz","full_offset",1,1,0.0788751714677641,0.512345679012346,1.41975300898451,0.10699628743693,"value_alt_offset"
"32","2nzfnkk2uulwmkz","full_offset",1,2,0.0555555555555556,0.660493827160494,3.43621399176955,0.0411522633744854,"value_alt_offset"
"33","2nzfnkk2uulwmkz","full_offset",2,1,0.12962962962963,0.722222222222222,1.17283950617284,0.148148148147361,"value_alt_offset"
"34","2nzfnkk2uulwmkz","full_offset",2,2,0.0555555555555556,0.771604938271605,2.03703703703704,-0.0493827160493827,"value_alt_offset"
"35","2nzfnkk2uulwmkz","full_offset",3,1,0.0185185185185185,0.537020101949229,2.28377917565429,-0.222222222222222,"value_alt_offset"
"36","2nzfnkk2uulwmkz","full_offset",3,2,0.0555555555555556,0.722222222222222,1.66666666666667,0,"value_alt_offset"
