"","sub","model","rr","pu","rho","bestfit"
"1","1qs0vvu9krr584a","perc_offset",1,1,0.0569272977636375,"perc_offset"
"2","1qs0vvu9krr584a","perc_offset",1,2,0.00617284724969724,"perc_offset"
"3","1qs0vvu9krr584a","perc_offset",2,1,0.00617346673164725,"perc_offset"
"4","1qs0vvu9krr584a","perc_offset",2,2,0.0185241635442473,"perc_offset"
"5","1qs0vvu9krr584a","perc_offset",3,1,0.0377399128409399,"perc_offset"
"6","1qs0vvu9krr584a","perc_offset",3,2,0.0637860082304527,"value_alt_offset"
"7","1tq0jt4dd31u8lq","perc_offset",1,1,0.284687293508018,"value_alt_offset"
"8","1tq0jt4dd31u8lq","perc_offset",1,2,0.393004115226337,"value_alt_offset"
"9","1tq0jt4dd31u8lq","perc_offset",2,1,0.00480108965016564,"value_alt_offset"
"10","1tq0jt4dd31u8lq","perc_offset",2,2,0.277785304482421,"value_alt_offset"
"11","1tq0jt4dd31u8lq","perc_offset",3,1,0.115912208504801,"value_alt_offset"
"12","1tq0jt4dd31u8lq","perc_offset",3,2,0.303840877914952,"value_alt_offset"
"13","22260uys7arz8j6","perc_offset",1,1,0.565843621399177,"value_alt_offset"
"14","22260uys7arz8j6","perc_offset",1,2,0.376543209876543,"value_alt_offset"
"15","22260uys7arz8j6","perc_offset",2,1,0.87037037037037,"value_alt_offset"
"16","22260uys7arz8j6","perc_offset",2,2,0.364197530864198,"value_alt_offset"
"17","22260uys7arz8j6","perc_offset",3,1,0.95679012345679,"value_alt_offset"
"18","22260uys7arz8j6","perc_offset",3,2,0.895061728395062,"value_alt_offset"
"19","2bqu5ktkg43fh3p","perc_offset",1,1,0.051440329218107,"perc_offset"
"20","2bqu5ktkg43fh3p","perc_offset",1,2,0.155692729766818,"value_alt_offset"
"21","2bqu5ktkg43fh3p","perc_offset",2,1,0.0925925925925926,"perc_offset"
"22","2bqu5ktkg43fh3p","perc_offset",2,2,0.871742112482853,"value_alt_offset"
"23","2bqu5ktkg43fh3p","perc_offset",3,1,0.413579619688106,"value_alt_offset"
"24","2bqu5ktkg43fh3p","perc_offset",3,2,0.228393180051972,"value_alt_offset"
"25","2mzs709cn5dlwj2","perc_offset",1,1,0.685185185185185,"value_alt_offset"
"26","2mzs709cn5dlwj2","perc_offset",1,2,0.388888888888889,"value_alt_offset"
"27","2mzs709cn5dlwj2","perc_offset",2,1,0.351849970175429,"value_alt_offset"
"28","2mzs709cn5dlwj2","perc_offset",2,2,0.281893004115226,"value_alt_offset"
"29","2mzs709cn5dlwj2","perc_offset",3,1,0.290123456790123,"perc_offset"
"30","2mzs709cn5dlwj2","perc_offset",3,2,0.327160493827161,"perc_offset"
"31","2nzfnkk2uulwmkz","perc_offset",1,1,0.195473251028807,"value_alt_offset"
"32","2nzfnkk2uulwmkz","perc_offset",1,2,0.450617283950617,"value_alt_offset"
"33","2nzfnkk2uulwmkz","perc_offset",2,1,0.277777777777778,"value_alt_offset"
"34","2nzfnkk2uulwmkz","perc_offset",2,2,0.611111111111111,"value_alt_offset"
"35","2nzfnkk2uulwmkz","perc_offset",3,1,0.0185185185185185,"value_alt_offset"
"36","2nzfnkk2uulwmkz","perc_offset",3,2,0.0802469135802469,"value_alt_offset"
"37","2qu63bjtm9kxnnb","perc_offset",1,1,0.0807041609510745,"value_alt_offset"
"38","2qu63bjtm9kxnnb","perc_offset",1,2,0.166666666666667,"value_alt_offset"
"39","2qu63bjtm9kxnnb","perc_offset",2,1,0.191205608901082,"value_alt_offset"
"40","2qu63bjtm9kxnnb","perc_offset",2,2,0.195473251028792,"value_alt_offset"
"41","2qu63bjtm9kxnnb","perc_offset",3,1,0.0336076817558299,"value_alt_offset"
"42","2qu63bjtm9kxnnb","perc_offset",3,2,0.0925925925925926,"value_alt_offset"
"43","2usnf1r3h88bett","perc_offset",1,1,0.314814605739657,"value_alt_offset"
"44","2usnf1r3h88bett","perc_offset",1,2,0.64814807845643,"value_alt_offset"
"45","2usnf1r3h88bett","perc_offset",2,1,0.969135802469136,"value_alt_offset"
"46","2usnf1r3h88bett","perc_offset",2,2,0.376543209876543,"value_alt_offset"
"47","2usnf1r3h88bett","perc_offset",3,1,0.969135802469136,"value_alt_offset"
"48","2usnf1r3h88bett","perc_offset",3,2,0.907407407407407,"value_alt_offset"
"49","34aswcgc3uv5ln0","perc_offset",1,1,0.25715084082711,"value_alt_offset"
"50","34aswcgc3uv5ln0","perc_offset",1,2,0.833333333333333,"value_alt_offset"
"51","34aswcgc3uv5ln0","perc_offset",2,1,0.611111111111111,"value_alt_offset"
"52","34aswcgc3uv5ln0","perc_offset",2,2,0.347736628191177,"value_alt_offset"
"53","34aswcgc3uv5ln0","perc_offset",3,1,0.801783264746228,"value_alt_offset"
"54","34aswcgc3uv5ln0","perc_offset",3,2,0.969135802469136,"value_alt_offset"
"55","35q8u5ekgfaq26g","perc_offset",1,1,0.574074074074074,"perc_offset"
"56","35q8u5ekgfaq26g","perc_offset",1,2,0.50000188167603,"value_alt_offset"
"57","35q8u5ekgfaq26g","perc_offset",2,1,0.174439871970736,"perc_offset"
"58","35q8u5ekgfaq26g","perc_offset",2,2,0.462968607992232,"value_alt_offset"
"59","35q8u5ekgfaq26g","perc_offset",3,1,0.0633287608596251,"value_alt_offset"
"60","35q8u5ekgfaq26g","perc_offset",3,2,0.166615861403241,"value_alt_offset"
"61","3jrram86yd3uhgb","perc_offset",1,1,0.166666674410191,"value_alt_offset"
"62","3jrram86yd3uhgb","perc_offset",1,2,0.155692729766804,"value_alt_offset"
"63","3jrram86yd3uhgb","perc_offset",2,1,0.0916781675426568,"value_alt_offset"
"64","3jrram86yd3uhgb","perc_offset",2,2,0.347736625514403,"value_alt_offset"
"65","3jrram86yd3uhgb","perc_offset",3,1,0.203703703703704,"value_alt_offset"
"66","3jrram86yd3uhgb","perc_offset",3,2,0.150205761316872,"value_alt_offset"
"67","3t9q259awsqqnjn","perc_offset",1,1,0.388887007212466,"value_alt_offset"
"68","3t9q259awsqqnjn","perc_offset",1,2,0.434156378600823,"value_alt_offset"
"69","3t9q259awsqqnjn","perc_offset",2,1,0.944444444444444,"value_alt_offset"
"70","3t9q259awsqqnjn","perc_offset",2,2,0.376543209876543,"value_alt_offset"
"71","3t9q259awsqqnjn","perc_offset",3,1,0.573616826703247,"value_alt_offset"
"72","3t9q259awsqqnjn","perc_offset",3,2,0.430041152263374,"value_alt_offset"
"73","4g3g9s2nj7eh7g9","perc_offset",1,1,0.314814814814815,"value_alt_offset"
"74","4g3g9s2nj7eh7g9","perc_offset",1,2,0.179012345679011,"perc_offset"
"75","4g3g9s2nj7eh7g9","perc_offset",2,1,0.0555555555555556,"value_alt_offset"
"76","4g3g9s2nj7eh7g9","perc_offset",2,2,0.154320987654321,"value_alt_offset"
"77","4g3g9s2nj7eh7g9","perc_offset",3,1,0.0307117817405883,"value_alt_offset"
"78","4g3g9s2nj7eh7g9","perc_offset",3,2,0.623456790123457,"value_alt_offset"
"79","4ns4fa2xqw95lgx","perc_offset",1,1,0.417695473251029,"value_alt_offset"
"80","4ns4fa2xqw95lgx","perc_offset",1,2,0.611094168279778,"perc_offset"
"81","4ns4fa2xqw95lgx","perc_offset",2,1,0.561728395061728,"perc_offset"
"82","4ns4fa2xqw95lgx","perc_offset",2,2,0.200045724737083,"value_alt_offset"
"83","4ns4fa2xqw95lgx","perc_offset",3,1,0.388888888888889,"value_alt_offset"
"84","4ns4fa2xqw95lgx","perc_offset",3,2,0.121399176954733,"value_alt_offset"
"85","4tcxev3874jk89a","perc_offset",1,1,0.438271604938403,"value_alt_offset"
"86","4tcxev3874jk89a","perc_offset",1,2,0.537494284407865,"value_alt_offset"
"87","4tcxev3874jk89a","perc_offset",2,1,0.302469135802469,"value_alt_offset"
"88","4tcxev3874jk89a","perc_offset",2,2,0.216049382716049,"value_alt_offset"
"89","4tcxev3874jk89a","perc_offset",3,1,0.989711934156379,"value_alt_offset"
"90","4tcxev3874jk89a","perc_offset",3,2,0.771604938271605,"value_alt_offset"
"91","57znvber9kc1tnj","perc_offset",1,1,0.187243425579384,"value_alt_offset"
"92","57znvber9kc1tnj","perc_offset",1,2,0.187242798353909,"value_alt_offset"
"93","57znvber9kc1tnj","perc_offset",2,1,0.12962962962963,"value_alt_offset"
"94","57znvber9kc1tnj","perc_offset",2,2,0.166666666666667,"value_alt_offset"
"95","57znvber9kc1tnj","perc_offset",3,1,0.0720164609053498,"value_alt_offset"
"96","57znvber9kc1tnj","perc_offset",3,2,0.150205761316872,"value_alt_offset"
"97","5cp1qjka53bl73q","perc_offset",1,1,0.133744855967078,"perc_offset"
"98","5cp1qjka53bl73q","perc_offset",1,2,0.117334755880709,"perc_offset"
